"dota"
{
"DOTA_Accept"	"Приемане"
"DOTA_Cancel"	"Отказ"
"DOTA_Console"	"Конзола"
"DOTA_Create"	"Създаване"
"DOTA_Decline"	"Отхвърляне"
"DOTA_Error"	"Грешка"
"DOTA_Join"	"Присъединяване"
"DOTA_Leave"	"Напускане"
"DOTA_New"	"Ново"
"DOTA_Ok"	"Добре"
"DOTA_Sale"	"Разпродажба"
"DOTA_Close"	"Затваряне"
"DOTA_Continue"	"Продължаване"
"DOTA_Add"	"Добавяне"
"DOTA_Edit"	"Редактиране"
"DOTA_Enable"	"Включване"
"DOTA_Disable"	"Изключване"
"DOTA_Refresh"	"Опресняване"
"DOTA_Loading"	"Зареждане"
"DOTA_None"	"Няма"
"DOTA_Customize"	"Персонализиране"
"DOTA_AcceptChanges"	"Приемане на промените"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Неизвестно"
"UI_Yes"	"Да"
"UI_No"	"Не"
"UI_File_Filter_Any"	"Всички файлове (*.*)"
"DOTA_MainMenu_Heroes"	"Герои"
"DOTA_MainMenu_Watch"	"Наблюдаване"
"DOTA_MainMenu_Learn"	"Обучение"
"DOTA_MainMenu_Mods"	"Аркадни"
"DOTA_TabName_GlobalItems"	"Глобални предмети"
"DOTA_TabName_Treasury"	"Съкровищница"
"DOTA_TabName_Armory"	"Оръжейна"
"DOTA_ConfirmQuit"	"Потвърждаване на излизането"
"DOTA_ConfirmQuitDesc"	"Наистина ли желаете да излезете от Dota 2?"
"DOTA_ConfirmQuitDescUnsafe"	"Напускането на игра преди приключването ѝ е възможно да я развали за останалите играчи. Наистина ли желаете да излезете от Dota 2?"
"DOTA_InvalidPersonaName"	"[неизвестно]"
"DOTA_Friends_WindowTitle"	"ПРИЯТЕЛИ"
"DOTA_FriendsCategory_ReadyToPlay"	"В отворени игри <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"В Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"На линия <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"Висящи <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Извън линия <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Списъкът Ви с приятели в момента е празен"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Приятели"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"Личен рейтинг"
"DOTA_ProfileCard_StatTitle_PartyRank"	"Екипен рейтинг"
"DOTA_ProfileCard_StatTitle_Wins"	"Победи"
"DOTA_ProfileCard_StatTitle_Commends"	"Препоръки"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Мачове"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Първи мач"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Трофеи"
"DOTA_ProfileCard_SlotTab_Items"	"Оръжейна"
"DOTA_ProfileCard_SlotTab_Heroes"	"Герои"
