"dota"
{
"DOTA_Accept"	"Accepteren"
"DOTA_Cancel"	"Annuleren"
"DOTA_Console"	"Console"
"DOTA_Create"	"Maken"
"DOTA_Decline"	"Weigeren"
"DOTA_Error"	"Fout"
"DOTA_Join"	"Meedoen"
"DOTA_Leave"	"Verlaten"
"DOTA_New"	"Nieuw"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Uitverkoop"
"DOTA_Close"	"Sluiten"
"DOTA_Continue"	"Doorgaan"
"DOTA_Add"	"Toevoegen"
"DOTA_Edit"	"Bewerken"
"DOTA_Enable"	"Inschakelen"
"DOTA_Disable"	"Uitschakelen"
"DOTA_Refresh"	"Vernieuwen"
"DOTA_Loading"	"Laden"
"DOTA_None"	"Geen"
"DOTA_Customize"	"Aanpassen"
"DOTA_AcceptChanges"	"Wijzigingen accepteren"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Onbekend"
"UI_Yes"	"Ja"
"UI_No"	"Nee"
"UI_File_Filter_Any"	"Alle bestanden (*.*)"
"DOTA_MainMenu_Heroes"	"Helden"
"DOTA_MainMenu_Watch"	"Bekijken"
"DOTA_MainMenu_Learn"	"Leren"
"DOTA_MainMenu_Mods"	"Aangepaste spellen"
"DOTA_TabName_GlobalItems"	"Algemene items"
"DOTA_TabName_Treasury"	"Schatkamer"
"DOTA_TabName_Armory"	"Arsenaal"
"DOTA_ConfirmQuit"	"Afsluiten bevestigen"
"DOTA_ConfirmQuitDesc"	"Weet je zeker dat je Dota 2 wilt afsluiten?"
"DOTA_ConfirmQuitDescUnsafe"	"Als je een spel verlaat voordat het afgelopen is verpest je het mogelijk voor de andere spelers. Weet je zeker dat je Dota 2 wilt afsluiten?"
"DOTA_InvalidPersonaName"	"[onbekend]"
"DOTA_Friends_WindowTitle"	"VRIENDEN"
"DOTA_FriendsCategory_ReadyToPlay"	"In open spellen <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"In Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"Online <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"In afwachting <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Offline <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Je vriendenlijst is momenteel leeg"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Vrienden"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"Solo-MMB"
"DOTA_ProfileCard_StatTitle_PartyRank"	"Groeps-MMB"
"DOTA_ProfileCard_StatTitle_Commends"	"Gewaardeerd"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Spellen"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Eerste spel"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Trofeeën"
"DOTA_ProfileCard_SlotTab_Items"	"Arsenaal"
"DOTA_ProfileCard_SlotTab_Heroes"	"Helden"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Emoticons"
"DOTA_ProfileCard_NoTrophies"	"Er zijn geen trofeeën beschikbaar."
"DOTA_ProfileCard_NoItems"	"Er zijn geen items beschikbaar."
"DOTA_ProfileCard_HeroOnly"	"Alleen helden"
"DOTA_ProfileCard_HeroShowWins"	"Overwinningen tonen"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Overwinningen/nederlagen tonen"
"DOTA_ProfileCard_ItemSearchPrefix"	"Zoeken naar:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Items op naam"
"DOTA_ProfileCard_ItemArmoryLink"	"Volledig arsenaal bekijken"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Zoeken op heldnaam"
"DOTA_Wins_Singular"	"1 overwinning"
"DOTA_Wins_Plural"	"{d:hero_wins} overwinningen"
"DOTA_Profile_Solo_MMR"	"Solo-MMB"
"DOTA_Profile_Team_MMR"	"Team-MMB"
"DOTA_Profile_Party_MMR"	"Groeps-MMB"
"DOTA_Profile_VictoryCount"	"Overwinningen"
"DOTA_Profile_ProfilePage"	"Profiel"
"DOTA_Profile_TrophyPage"	"Trofeeën"
"DOTA_Profile_RecentGamesPage"	"Recente spellen"
"DOTA_Profile_HeroPage"	"Helden"
"DOTA_Profile_PlayStyle"	"Speelstijl"
"DOTA_Profile_MostRecent"	"Laatste {s:num_style_games} spel(len)"
"DOTA_Profile_RecentActivity"	"Recente activiteit"
"DOTA_Profile_Fighting"	"Vechten"
"DOTA_Profile_Fighting_TooltipTitle"	"Vechten"
"DOTA_Profile_Fighting_Tooltip"	"Spelers die in veel gevechten vechten met vijandelijke helden."
"DOTA_Profile_Farming"	"Farmen"
"DOTA_Profile_Farming_TooltipTitle"	"Farmen"
"DOTA_Profile_Farming_Tooltip"	"Spelers die goud farmen door wezens te doden."
"DOTA_Profile_Supporting"	"Supporten"
"DOTA_Profile_Supporting_TooltipTitle"	"Supporten"
"DOTA_Profile_Supporting_Tooltip"	"Spelers die hun team ondersteunen door te genezen en wards en items te kopen."
"DOTA_Profile_Pushing"	"Pushen"
"DOTA_Profile_Pushing_TooltipTitle"	"Pushen"
"DOTA_Profile_Pushing_Tooltip"	"Spelers die torens pushen en daarmee ruimte creëren."
"DOTA_Profile_Versatility"	"Veelzijdigheid"
"DOTA_Profile_Versatility_TooltipTitle"	"Veelzijdigheid"
"DOTA_Profile_Versatility_Tooltip"	"Spelers die veelzijdig zijn en veel verschillende helden spelen."
"DOTA_Profile_Tooltip_Value"	"{s:CurrentStatValue}"
"DOTA_Profile_Tooltip_Comparison"	"{s:CurrentComparisonValue}"
"DOTA_Profile_StatsCompare"	"Vergelijken met mijn statistieken"
"DOTA_Profile_Self"	"Ik"
"DOTA_Profile_GPM"	"Gem. GPM"
"DOTA_Profile_XPM"	"Gem. XPM"
"DOTA_Profile_LH"	"Gem. laatste treffers"
"DOTA_Profile_Rampages"	"Rampages"
"DOTA_Profile_FirstBled"	"Als eerst doodgegaan"
"DOTA_Profile_CourierKills"	"Koeriers gedood"
"DOTA_Profile_Aegises"	"Aegisen gestolen"
"DOTA_Profile_CheeseEaten"	"Cheese gegeten"
"DOTA_Profile_CreepStack"	"Kampen gestackt"
"DOTA_Profile_GPMValue"	"{s:GPM}"
"DOTA_Profile_XPMValue"	"{s:XPM}"
"DOTA_Profile_LHValue"	"{s:LH}"
"DOTA_Profile_RampagesValue"	"{d:Rampages}"
"DOTA_Profile_TripleKillsValue"	"{d:TripleKills}"
"DOTA_Profile_FirstBloodValue"	"{d:FirstBlood}"
"DOTA_Profile_FirstBledValue"	"{d:FirstBled}"
"DOTA_Profile_CourierKillsValue"	"{d:CourierKills}"
"DOTA_Profile_AegisesValue"	"{d:Aegises}"
"DOTA_Profile_CheeseEatenValue"	"{d:CheeseEaten}"
"DOTA_Profile_CreepStackValue"	"{d:CreepStack}"
"DOTA_Profile_GPMLocalValue"	"{s:GPMLocal}"
"DOTA_Profile_XPMLocalValue"	"{s:XPMLocal}"
"DOTA_Profile_LHLocalValue"	"{s:LHLocal}"
"DOTA_Profile_RampagesLocalValue"	"{d:RampagesLocal}"
"DOTA_Profile_TripleKillsLocalValue"	"{d:TripleKillsLocal}"
"DOTA_Profile_FirstBloodLocalValue"	"{d:FirstBloodLocal}"
"DOTA_Profile_FirstBledLocalValue"	"{d:FirstBledLocal}"
"DOTA_Profile_CourierKillsLocalValue"	"{d:CourierKillsLocal}"
"DOTA_Profile_AegisesLocalValue"	"{d:AegisesLocal}"
"DOTA_Profile_CheeseEatenLocalValue"	"{d:CheeseEatenLocal}"
"DOTA_Profile_CreepStackLocalValue"	"{d:CreepStackLocal}"
"DOTA_RecentGames_Title"	"Recente spellen"
"DOTA_RecentGames_TimeStamp"	"Datum/tijd"
"DOTA_RecentGames_HeroSelection"	"Gespeelde held"
"DOTA_RecentGames_GameResult"	"Resultaat"
"DOTA_RecentGames_GameLength"	"Duur"
"DOTA_RecentGames_Team"	"Team"
"DOTA_RecentGames_GameType"	"Soort"
"DOTA_RecentGames_Items"	"Items"
"DOTA_RecentGame_Timestamp_Entry"	"{t:s:timestamp} {t:t:timestamp}"
"DOTA_RecentGame_Duration"	"{t:d:duration}"
"DOTA_RecentGame_Downloading"	"{s:DownloadPercent} gedownload"
"DOTA_RecentGame_Watch"	"Herhaling bekijken"
