"dota"
{
"DOTA_Accept"	"承諾"
"DOTA_Cancel"	"キャンセル"
"DOTA_Console"	"コンソール"
"DOTA_Create"	"作成"
"DOTA_Decline"	"拒否"
"DOTA_Error"	"エラー"
"DOTA_Join"	"参加"
"DOTA_Leave"	"退室"
"DOTA_New"	"New"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"セール"
"DOTA_Close"	"閉じる"
"DOTA_Continue"	"続行"
"DOTA_Add"	"追加"
"DOTA_Edit"	"編集"
"DOTA_Enable"	"有効"
"DOTA_Disable"	"無効"
"DOTA_Refresh"	"更新"
"DOTA_Loading"	"ロード中"
"DOTA_None"	"なし"
"DOTA_Customize"	"カスタマイズ"
"DOTA_AcceptChanges"	"変更を承認"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"不明"
"UI_Yes"	"はい"
"UI_No"	"いいえ"
"UI_File_Filter_Any"	"全てのファイル (*.*)"
"DOTA_MainMenu_Heroes"	"ヒーロー"
"DOTA_MainMenu_Watch"	"観戦"
"DOTA_MainMenu_Learn"	"学ぶ"
"DOTA_MainMenu_Mods"	"カスタムゲーム"
"DOTA_TabName_GlobalItems"	"グローバルアイテム"
"DOTA_TabName_Treasury"	"宝庫"
"DOTA_TabName_Armory"	"保管庫"
"DOTA_ConfirmQuit"	"ゲーム終了"
"DOTA_ConfirmQuitDesc"	"Dota 2 を終了してよろしいですか？"
"DOTA_ConfirmQuitDescUnsafe"	"ゲーム終了前に退出すると、他のプレイヤーに迷惑をかけることがあります。本当に Dota 2 を終了してよろしいですか？"
"DOTA_InvalidPersonaName"	"[不明]"
"DOTA_Friends_WindowTitle"	"フレンド"
"DOTA_FriendsCategory_ReadyToPlay"	"公開ゲーム内 <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"Dota 内<font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"オンライン <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"保留中 <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"オフライン <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"あなたのフレンドリストは空です"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"フレンド"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"ソロ MMR"
"DOTA_ProfileCard_StatTitle_PartyRank"	"パーティ MMR"
"DOTA_ProfileCard_StatTitle_Wins"	"勝利数"
"DOTA_ProfileCard_StatTitle_Commends"	"称賛"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"試合数"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"第一試合"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"トロフィー"
"DOTA_ProfileCard_SlotTab_Items"	"保管庫"
"DOTA_ProfileCard_SlotTab_Heroes"	"ヒーロー"
"DOTA_ProfileCard_SlotTab_Emoticons"	"絵文字"
"DOTA_ProfileCard_NoTrophies"	"入手可能なトロフィーはありません。"
"DOTA_ProfileCard_NoItems"	"入手可能なアイテムはありません。"
"DOTA_ProfileCard_HeroOnly"	"ヒーローのみ"
"DOTA_ProfileCard_HeroShowWins"	"勝利数を表示"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"勝敗を表示"
"DOTA_ProfileCard_ItemSearchPrefix"	"検索:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"アイテムの名前順"
"DOTA_ProfileCard_ItemArmoryLink"	"保管庫全て表示"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"ヒーロー名で検索"
"DOTA_Wins_Singular"	"1 勝"
"DOTA_Wins_Plural"	"{d:hero_wins} 勝"
"DOTA_Losses_Singular"	"1 敗"
"DOTA_Losses_Plural"	"{d:hero_losses} 敗"
"DOTA_Profile_TotalGames"	"総試合数"
"DOTA_Profile_Solo_MMR"	"ソロ MMR"
"DOTA_Profile_Team_MMR"	"チーム MMR"
"DOTA_Profile_Party_MMR"	"パーティ MMR"
"DOTA_Profile_VictoryCount"	"勝利数"
"DOTA_Profile_ProfilePage"	"プロフィール"
"DOTA_Profile_RecentGamesPage"	"最近の試合"
"DOTA_Profile_HeroPage"	"ヒーロー"
"DOTA_Profile_PlayStyle"	"プレイスタイル"
"DOTA_Profile_MostRecent"	"最も最近 {s:num_style_games} 試合"
"DOTA_Profile_RecentActivity"	"最近のアクティビティ"
"DOTA_Profile_Fighting"	"戦闘"
"DOTA_Profile_Fighting_TooltipTitle"	"戦闘"
"DOTA_Profile_Fighting_Tooltip"	"敵ヒーロー相手に戦闘をこなすプレイヤー。"
"DOTA_Profile_Farming"	"ファーム"
"DOTA_Profile_Farming_TooltipTitle"	"ファーム"
"DOTA_Profile_Farming_Tooltip"	"クリーチャーを倒してゴールドを稼ぐプレイヤー。"
"DOTA_Profile_Supporting"	"サポート"
"DOTA_Profile_Supporting_TooltipTitle"	"サポート"
"DOTA_Profile_Supporting_Tooltip"	"チーム用にワードやアイテムを購入したり、回復させたりしてサポートするプレイヤー。"
