"dota"
{
"DOTA_Accept"	"Akceptuj"
"DOTA_Cancel"	"Anuluj"
"DOTA_Console"	"Konsola"
"DOTA_Create"	"Utwórz"
"DOTA_Decline"	"Odrzuć"
"DOTA_Error"	"Błąd"
"DOTA_Join"	"Dołącz"
"DOTA_Leave"	"Wyjdź"
"DOTA_New"	"Nowość"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Wyprzedaż"
"DOTA_Close"	"Zamknij"
"DOTA_Continue"	"Kontynuuj"
"DOTA_Add"	"Dodaj"
"DOTA_Edit"	"Edytuj"
"DOTA_Enable"	"Włącz"
"DOTA_Disable"	"Wyłącz"
"DOTA_Refresh"	"Odśwież"
"DOTA_Loading"	"Wczytywanie"
"DOTA_None"	"Brak"
"DOTA_Customize"	"Dostosuj"
"DOTA_AcceptChanges"	"Zatwierdź zmiany"
"dota_team_radiant"	"Świetliści"
"dota_team_dire"	"Mroczni"
"Unknown"	"Nieznany"
"UI_Yes"	"Tak"
"UI_No"	"Nie"
"UI_File_Filter_Any"	"Wszystkie pliki (*.*)"
"DOTA_MainMenu_Heroes"	"Bohaterowie"
"DOTA_MainMenu_Watch"	"Oglądaj"
"DOTA_MainMenu_Learn"	"Nauka"
"DOTA_MainMenu_Mods"	"Niestandardowe gry"
"DOTA_TabName_GlobalItems"	"Globalne"
"DOTA_TabName_Treasury"	"Skarbiec"
"DOTA_TabName_Armory"	"Zbrojownia"
"DOTA_ConfirmQuit"	"Potwierdź wyjście"
"DOTA_ConfirmQuitDesc"	"Czy na pewno chcesz wyjść z gry Dota 2?"
"DOTA_ConfirmQuitDescUnsafe"	"Opuszczenie gry przed jej zakończeniem może zepsuć rozgrywkę innym graczom. Czy na pewno chcesz opuścić Dota 2?"
"DOTA_InvalidPersonaName"	"[nieznany]"
"DOTA_Friends_WindowTitle"	"ZNAJOMI"
"DOTA_FriendsCategory_ReadyToPlay"	"W otwartych grach <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"W Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"Online <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"Oczekujący <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Offline <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Twoja lista znajomych jest aktualnie pusta"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Znajomi"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"Solo MMR"
"DOTA_ProfileCard_StatTitle_PartyRank"	"Zespołowe MMR"
"DOTA_ProfileCard_StatTitle_Wins"	"Zwycięstwa"
"DOTA_ProfileCard_StatTitle_Commends"	"Rekomendacje"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Mecze"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Pierwszy mecz"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
