"dota"
{
"DOTA_Accept"	"Aceitar"
"DOTA_Cancel"	"Cancelar"
"DOTA_Console"	"Consola"
"DOTA_Create"	"Criar"
"DOTA_Decline"	"Recusar"
"DOTA_Error"	"Erro"
"DOTA_Join"	"Entrar"
"DOTA_Leave"	"Sair"
"DOTA_New"	"Novidade"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Saldos"
"DOTA_Close"	"Fechar"
"DOTA_Continue"	"Continuar"
"DOTA_Add"	"Adicionar"
"DOTA_Edit"	"Editar"
"DOTA_Enable"	"Ativar"
"DOTA_Disable"	"Desativar"
"DOTA_Refresh"	"Atualizar"
"DOTA_Loading"	"A carregar"
"DOTA_None"	"Nenhum"
"DOTA_Customize"	"Personalizar"
"DOTA_AcceptChanges"	"Aceitar alterações"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Desconhecido"
"UI_Yes"	"Sim"
"UI_No"	"Não"
"UI_File_Filter_Any"	"Todos os ficheiros (*.*)"
"DOTA_MainMenu_Heroes"	"Heróis"
"DOTA_MainMenu_Watch"	"Assistir"
"DOTA_MainMenu_Learn"	"Aprender"
"DOTA_MainMenu_Mods"	"Modos Customizados"
"DOTA_TabName_GlobalItems"	"Itens globais"
"DOTA_TabName_Treasury"	"Tesouros"
"DOTA_TabName_Armory"	"Arsenal"
"DOTA_ConfirmQuit"	"Confirmar saída"
"DOTA_ConfirmQuitDesc"	"De certeza que queres sair do Dota 2?"
"DOTA_ConfirmQuitDescUnsafe"	"Sair antes de acabar a partida pode arruinar o jogo para outros jogadores. Tens a certeza de que queres sair do Dota 2?"
"DOTA_InvalidPersonaName"	"[desconhecido]"
"DOTA_Friends_WindowTitle"	"AMIGOS"
"DOTA_FriendsCategory_ReadyToPlay"	"Numa partida aberta <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"No Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"Online <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"Pendente <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Offline <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Lista de amigos vazia"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Amigos"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"MMR solo"
"DOTA_ProfileCard_StatTitle_PartyRank"	"MMR de grupo"
"DOTA_ProfileCard_StatTitle_Wins"	"Vitórias"
"DOTA_ProfileCard_StatTitle_Commends"	"Elogios"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Partidas"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"1ª partida"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Troféus"
"DOTA_ProfileCard_SlotTab_Items"	"Arsenal"
"DOTA_ProfileCard_SlotTab_Heroes"	"Heróis"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Emoticons"
"DOTA_ProfileCard_NoTrophies"	"Nenhum troféu disponível."
"DOTA_ProfileCard_NoItems"	"Nenhum item disponível."
"DOTA_ProfileCard_HeroOnly"	"Só herói"
"DOTA_ProfileCard_HeroShowWins"	"Vitórias"
"DOTA_ProfileCard_HeroShowWinsAndLosses"	"Vitórias/Derrot."
"DOTA_ProfileCard_ItemSearchPrefix"	"Procurar:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Itens pelo nome"
"DOTA_ProfileCard_ItemArmoryLink"	"Ver o Arsenal todo"
"DOTA_HeroTooltip_HeroName"	"{s:hero_name}"
"DOTA_HeroTooltip_HeroRecord"	"{s:hero_wins_string}, {s:hero_losses_string}"
"DOTA_ProfileCard_HeroSearchPlaceholder"	"Procurar por nome"
"DOTA_Wins_Singular"	"1 vitória"
"DOTA_Wins_Plural"	"{d:hero_wins} vitórias"
"DOTA_Losses_Singular"	"1 derrota"
"DOTA_Losses_Plural"	"{d:hero_losses} derrotas"
"DOTA_Profile_TotalGames"	"Total de partidas"
"DOTA_Profile_Solo_MMR"	"MMR solo"
"DOTA_Profile_Team_MMR"	"MMR de equipa"
"DOTA_Profile_Party_MMR"	"MMR de grupo"
"DOTA_Profile_VictoryCount"	"Vitórias"
"DOTA_Profile_ProfilePage"	"Perfil"
"DOTA_Profile_TrophyPage"	"Troféus"
"DOTA_Profile_RecentGamesPage"	"Partidas recentes"
"DOTA_Profile_HeroPage"	"Heróis"
