"dota"
{
"DOTA_Accept"	"Acceptă"
"DOTA_Cancel"	"Anulează"
"DOTA_Console"	"Consolă"
"DOTA_Create"	"Creează"
"DOTA_Decline"	"Refuză"
"DOTA_Error"	"Eroare"
"DOTA_Join"	"Alătură-te"
"DOTA_Leave"	"Pleacă"
"DOTA_New"	"Nou"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Ofertă"
"DOTA_Close"	"Închide"
"DOTA_Continue"	"Continuă"
"DOTA_Add"	"Adaugă"
"DOTA_Edit"	"Modifică"
"DOTA_Enable"	"Activează"
"DOTA_Disable"	"Dezactivează"
"DOTA_Refresh"	"Reîmprospătează"
"DOTA_Loading"	"Se încarcă"
"DOTA_None"	"Gol"
"DOTA_Customize"	"Personalizează"
"DOTA_AcceptChanges"	"Acceptă modificările"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Necunoscut"
"UI_Yes"	"Da"
"UI_No"	"Nu"
"UI_File_Filter_Any"	"Toate fişierele (*.*)"
"DOTA_MainMenu_Heroes"	"Eroi"
"DOTA_MainMenu_Watch"	"Urmărește"
"DOTA_MainMenu_Learn"	"Învaţă"
"DOTA_MainMenu_Mods"	"Jocuri Personalizate"
"DOTA_TabName_GlobalItems"	"Obiecte Globale"
"DOTA_TabName_Treasury"	"Trezorerie"
"DOTA_TabName_Armory"	"Arsenal"
"DOTA_InvalidPersonaName"	"[necunoscut]"
"DOTA_Friends_WindowTitle"	"PRIETENI"
"DOTA_FriendsCategory_PlayingDota"	"În Dota <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Lista ta de prieteni este goală"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Prieteni"
"DOTA_ProfileCard_StatTitle_SoloRank"	"MMR Individual"
"DOTA_ProfileCard_StatTitle_PartyRank"	"MMR Echipă"
"DOTA_ProfileCard_StatTitle_Commends"	"Recomandări"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Meciuri"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"Primul Meci"
"DOTA_ProfileCard_SlotTab_Trophies"	"Trofee"
"DOTA_ProfileCard_SlotTab_Items"	"Arsenal"
"DOTA_ProfileCard_SlotTab_Heroes"	"Eroi"
"DOTA_ProfileCard_SlotTab_Emoticons"	"Emoticon-uri"
"DOTA_ProfileCard_NoTrophies"	"Nu sunt trofee disponibile."
"DOTA_ProfileCard_NoItems"	"Nu sunt obiecte disponibile."
"DOTA_ProfileCard_HeroOnly"	"Doar Erou"
"DOTA_ProfileCard_HeroShowWins"	"Arată victorii"
"DOTA_ProfileCard_ItemSearchPrefix"	"Caută pentru:"
"DOTA_ProfileCard_ItemSearchPlaceholder"	"Obiecte după nume"
