"dota"
{
"DOTA_Accept"	"Принять"
"DOTA_Cancel"	"Отмена"
"DOTA_Console"	"Консоль"
"DOTA_Create"	"Создать"
"DOTA_Decline"	"Отклонить"
"DOTA_Error"	"Ошибка"
"DOTA_Join"	"Присоединиться"
"DOTA_Leave"	"Покинуть"
"DOTA_New"	"Новое"
"DOTA_Ok"	"OK"
"DOTA_Sale"	"Скидка"
"DOTA_Close"	"Закрыть"
"DOTA_Continue"	"Продолжить"
"DOTA_Add"	"Добавить"
"DOTA_Edit"	"Изменить"
"DOTA_Enable"	"Включить"
"DOTA_Disable"	"Выключить"
"DOTA_Refresh"	"Обновить"
"DOTA_Loading"	"Загрузка"
"DOTA_None"	"Нет"
"DOTA_Customize"	"Переодеть"
"DOTA_AcceptChanges"	"Принять изменения"
"dota_team_radiant"	"Силы Света"
"dota_team_dire"	"Силы Тьмы"
"Unknown"	"Неизвестно"
"UI_Yes"	"Да"
"UI_No"	"Нет"
"UI_File_Filter_Any"	"Все файлы (*.*)"
"DOTA_MainMenu_Heroes"	"Предметы"
"DOTA_MainMenu_Watch"	"Просмотр"
"DOTA_MainMenu_Learn"	"Обучение"
"DOTA_MainMenu_Mods"	"Пользовательские игры"
"DOTA_TabName_GlobalItems"	"Общие"
"DOTA_TabName_Treasury"	"Сокровищницы"
"DOTA_TabName_Armory"	"Арсенал"
"DOTA_ConfirmQuit"	"Выход"
"DOTA_ConfirmQuitDesc"	"Выйти из игры?"
"DOTA_ConfirmQuitDescUnsafe"	"Если вы покинете игру до ее окончания, то испортите ее остальным игрокам. Вы действительно хотите выйти из игры?"
"DOTA_InvalidPersonaName"	"[неизвестно]"
"DOTA_Friends_WindowTitle"	"ДРУЗЬЯ"
"DOTA_FriendsCategory_ReadyToPlay"	"<font color='#63C290'><b></b>{d:friend_count}</font> в открытых играх"
"DOTA_FriendsCategory_PlayingDota"	"<font color='#ACEBA9'>{d:friend_count}</font> в Dota 2"
"DOTA_FriendsCategory_Online"	"<font color='#6a9dcc'>{d:friend_count}</font> в сети"
"DOTA_FriendsCategory_Pending"	"<font color='#eeee82'>{d:friend_count}</font> ожидает"
"DOTA_FriendsCategory_Offline"	"<font color='#676666'>{d:friend_count}</font> не в сети"
"DOTA_Friends_Empty"	"Ваш список друзей пуст"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Друзья"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"Один. MMR"
"DOTA_ProfileCard_StatTitle_PartyRank"	"Груп. MMR"
"DOTA_ProfileCard_StatTitle_Wins"	"Побед"
"DOTA_ProfileCard_StatTitle_Commends"	"Похвал"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Матчей"
