"dota"
{
"DOTA_Accept"	"Kabul Et"
"DOTA_Cancel"	"İptal"
"DOTA_Console"	"Konsol"
"DOTA_Create"	"Oluştur"
"DOTA_Decline"	"Reddet"
"DOTA_Error"	"Hata"
"DOTA_Join"	"Katıl"
"DOTA_Leave"	"Ayrıl"
"DOTA_New"	"Yeni"
"DOTA_Ok"	"Tamam"
"DOTA_Sale"	"İndirim"
"DOTA_Close"	"Kapat"
"DOTA_Continue"	"Devam et"
"DOTA_Add"	"Ekle"
"DOTA_Edit"	"Düzenle"
"DOTA_Enable"	"Etkinleştir"
"DOTA_Disable"	"Devre dışı bırak"
"DOTA_Refresh"	"Yenile"
"DOTA_Loading"	"Yükleniyor"
"DOTA_None"	"Yok"
"DOTA_Customize"	"Özelleştir"
"DOTA_AcceptChanges"	"Değişiklikleri Onayla"
"dota_team_radiant"	"Radiant"
"dota_team_dire"	"Dire"
"Unknown"	"Bilinmiyor"
"UI_Yes"	"Evet"
"UI_No"	"Hayır"
"UI_File_Filter_Any"	"Tüm dosyalar (*.*)"
"DOTA_MainMenu_Heroes"	"Kahramanlar"
"DOTA_MainMenu_Watch"	"İzle"
"DOTA_MainMenu_Learn"	"Öğren"
"DOTA_MainMenu_Mods"	"Özel Oyunlar"
"DOTA_TabName_GlobalItems"	"Genel Eşyalar"
"DOTA_TabName_Treasury"	"Hazine"
"DOTA_TabName_Armory"	"Cephanelik"
"DOTA_ConfirmQuit"	"Çıkışı Onayla"
"DOTA_ConfirmQuitDesc"	"Dota 2'den çıkmak istiyor musun?"
"DOTA_ConfirmQuitDescUnsafe"	"Oyun bitmeden önce oyundan çıkmak diğer oyuncuların oyununu mahvedebilir. Dota 2'den gerçekten çıkmak istiyor musun?"
"DOTA_InvalidPersonaName"	"[unknown]"
"DOTA_Friends_WindowTitle"	"ARKADAŞLAR"
"DOTA_FriendsCategory_ReadyToPlay"	"Açık Oyunlarda <font color='#63C290'><b></b>({d:friend_count})</font>"
"DOTA_FriendsCategory_PlayingDota"	"Dota'da <font color='#ACEBA9'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Online"	"Çevrimiçi <font color='#6a9dcc'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Pending"	"Beklemede <font color='#eeee82'>({d:friend_count})</font>"
"DOTA_FriendsCategory_Offline"	"Çevrimdışı <font color='#676666'>({d:friend_count})</font>"
"DOTA_Friends_Empty"	"Arkadaş listeniz şu anda boş"
"DOTA_FriendsMenu_Tooltip_NoneReady"	"Arkadaşlar"
"DOTA_UserName"	"{g:dota_persona:user_account_id}"
"DOTA_UserNamePro"	"{g:dota_persona_pro:user_account_id}"
"DOTA_UserNickname"	"{g:dota_persona_nickname:user_account_id}"
"DOTA_UserRichPresence"	"{s:user_rich_presence}"
"DOTA_ProfileCard_StatTitle_SoloRank"	"Tek Kişilik ED"
"DOTA_ProfileCard_StatTitle_PartyRank"	"Parti ED"
"DOTA_ProfileCard_StatTitle_Wins"	"Galibiyetler"
"DOTA_ProfileCard_StatTitle_Commends"	"Övgüler"
"DOTA_ProfileCard_StatTitle_GamesPlayed"	"Maçlar"
"DOTA_ProfileCard_StatTitle_FirstMatchDate"	"İlk Maç"
"DOTA_ProfileCard_StatValue_Int"	"{d:stat_value}"
"DOTA_ProfileCard_StatValue_Date"	"{t:s:stat_value}"
"DOTA_ProfileCard_StatValue_String"	"{s:stat_value}"
"DOTA_ProfileCard_SlotTab_Trophies"	"Kupalar"
"DOTA_ProfileCard_SlotTab_Items"	"Cephanelik"
"DOTA_ProfileCard_SlotTab_Heroes"	"Kahramanlar"
"DOTA_ProfileCard_SlotTab_Emoticons"	"İfadeler"
"DOTA_ProfileCard_NoTrophies"	"Hiç kupan bulunmuyor."
"DOTA_ProfileCard_NoItems"	"Hiç eşyan bulunmuyor."
