"lang"
{
"Language"	"dutch"
"Tokens"
{
"DOTA_AttackMove"	"Aanvallen / Aanval forceren"
"[english]DOTA_AttackMove"	"Attack Move / Force Attack"
"DOTA_Move"	"Bewegen"
"[english]DOTA_Move"	"Move"
"DOTA_UnitQuery"	"Een object/eenheid opvragen"
"[english]DOTA_UnitQuery"	"Query an object/unit"
"DOTA_ExecuteAbility0"	"Vaardigheid 1"
"[english]DOTA_ExecuteAbility0"	"Ability 1"
"DOTA_ExecuteAbility1"	"Vaardigheid 2"
"[english]DOTA_ExecuteAbility1"	"Ability 2"
"DOTA_ExecuteAbility2"	"Vaardigheid 3"
"[english]DOTA_ExecuteAbility2"	"Ability 3"
"DOTA_ExecuteAbility3"	"Vaardigheid 4"
"[english]DOTA_ExecuteAbility3"	"Ability 4"
"DOTA_ExecuteAbility4"	"Vaardigheid 5"
"[english]DOTA_ExecuteAbility4"	"Ability 5"
"DOTA_ExecuteAbility5"	"Ultieme vaardigheid"
"[english]DOTA_ExecuteAbility5"	"Ability Ultimate"
"DOTA_RespawnTime"	"Je respawnt over %s1 seconden"
"[english]DOTA_RespawnTime"	"Respawning in %s1 seconds"
"DOTA_RespawnTimeShort"	"Respawnen over %s1 sec."
"[english]DOTA_RespawnTimeShort"	"Respawn in %s1 secs"
"DOTA_UnitLevel"	"Level %s1"
"[english]DOTA_UnitLevel"	"Level %s1"
"DOTA_StrengthStatus"	"%s1 KRA"
"[english]DOTA_StrengthStatus"	"%s1 STR"
"DOTA_STR"	"KRA"
"[english]DOTA_STR"	"STR"
"DOTA_AgilityStatus"	"%s1 BEH"
"[english]DOTA_AgilityStatus"	"%s1 AGI"
"DOTA_AGI"	"BEH"
"[english]DOTA_AGI"	"AGI"
"DOTA_IntellectStatus"	"%s1 INT"
"[english]DOTA_IntellectStatus"	"%s1 INT"
"DOTA_INT"	"INT"
"[english]DOTA_INT"	"INT"
"DOTA_DamageStatus"	"%s1 schade"
"[english]DOTA_DamageStatus"	"%s1 Damage"
"DOTA_ArmorStatus"	"%s1 pantser"
"[english]DOTA_ArmorStatus"	"%s1 Armor"
"DOTA_ARMOR"	"PANTSER"
"[english]DOTA_ARMOR"	"ARMOR"
"DOTA_UnitHold"	"Positie vasthouden"
"[english]DOTA_UnitHold"	"Hold Position"
"DOTA_UnitStop"	"Stoppen"
"[english]DOTA_UnitStop"	"Stop"
"DOTA_LevelUp"	"LEVEL UP"
"[english]DOTA_LevelUp"	"LEVEL UP"
"DOTA_LevelUp_Req"	"Heldlevel %s1 vereist"
"[english]DOTA_LevelUp_Req"	"Requires Hero Level %s1"
"DOTA_AttributesUp"	"LEVEL %s1"
"[english]DOTA_AttributesUp"	"LEVEL %s1"
"DOTA_Abilities"	"VAARDIGHEDEN"
"[english]DOTA_Abilities"	"ABILITIES"
"DOTA_Items"	"UITGERUSTE VOORWERPEN"
"[english]DOTA_Items"	"EQUIPPED ITEMS"
"DOTA_HUDShop"	"WINKEL"
"[english]DOTA_HUDShop"	"SHOP"
"DOTA_AttribArmor"	"Pantser"
"[english]DOTA_AttribArmor"	"Armor"
"DOTA_AttribDamage"	"Schade"
"[english]DOTA_AttribDamage"	"Damage"
"DOTA_More"	"MEER"
"[english]DOTA_More"	"MORE"
"DOTA_Developer"	"Ontwikkelaar"
"[english]DOTA_Developer"	"Developer"
"DOTA_NeedMana"	"%s1 sec."
"[english]DOTA_NeedMana"	"%s1 sec"
"DOTA_ManaCost"	"MANAKOSTEN %s1"
"[english]DOTA_ManaCost"	"MANA COST %s1"
"DOTA_Basics"	"BASIS"
"[english]DOTA_Basics"	"BASICS"
"DOTA_Upgrades"	"UPGRADES"
"[english]DOTA_Upgrades"	"UPGRADES"
"DOTA_Attributes"	"EIGENSCHAPPEN"
"[english]DOTA_Attributes"	"ATTRIBUTES"
"DOTA_LevelLabel"	"Level: %s1"
"[english]DOTA_LevelLabel"	"Level: %s1"
"DOTA_StackCount"	"Ladingaantal: %s1"
"[english]DOTA_StackCount"	"Stack Count: %s1"
"DOTA_Charges"	"Ladingen: %s1"
"[english]DOTA_Charges"	"Charges: %s1"
"DOTA_Health"	"GEZONDHEID"
"[english]DOTA_Health"	"HEALTH"
"DOTA_Mana"	"MANA"
"[english]DOTA_Mana"	"MANA"
"DOTA_Skills"	"VAARDIGHEDEN"
"[english]DOTA_Skills"	"SKILLS"
"DOTA_AttributeFooter"	"SCHADE: %s1 PANTSER: %s2"
"[english]DOTA_AttributeFooter"	"DAMAGE: %s1 ARMOR: %s2"
"DOTA_UnitSelection_Title"	"EENHEIDSSELECTIE"
"[english]DOTA_UnitSelection_Title"	"UNIT SELECTION"
"DOTA_SelectHeroAndCenter"	"Held selecteren en camera centreren"
"[english]DOTA_SelectHeroAndCenter"	"Select Hero and Center Camera"
"DOTA_TabUnit"	"Door geselecteerde eenheden bladeren"
"[english]DOTA_TabUnit"	"Cycle Through Selected Units"
"DOTA_ControlGroup1"	"Groep 1"
"[english]DOTA_ControlGroup1"	"Group 1"
"DOTA_ControlGroup2"	"Groep 2"
"[english]DOTA_ControlGroup2"	"Group 2"
"DOTA_ControlGroup3"	"Groep 3"
"[english]DOTA_ControlGroup3"	"Group 3"
"DOTA_ControlGroup4"	"Groep 4"
"[english]DOTA_ControlGroup4"	"Group 4"
"DOTA_ControlGroup5"	"Groep 5"
"[english]DOTA_ControlGroup5"	"Group 5"
"DOTA_StatTooltip_Header"	"Heldeigenschappen:\n\n"
"[english]DOTA_StatTooltip_Header"	"Hero Attributes:\n\n"
"DOTA_StatTooltip_Strength"	"Kracht:"
"[english]DOTA_StatTooltip_Strength"	"Strength:"
"DOTA_StatTooltip_Agility"	"Behendigheid:"
"[english]DOTA_StatTooltip_Agility"	"Agility:"
"DOTA_StatTooltip_Intelligence"	"Intelligentie:"
"[english]DOTA_StatTooltip_Intelligence"	"Intelligence:"
"DOTA_StatTooltip_PrimaryAttrib"	" Primaire eigenschap\n"
"[english]DOTA_StatTooltip_PrimaryAttrib"	" Primary Attribute\n"
"DOTA_StatTooltip_StrengthBonus"	"- Elk punt verhoogt je gezondheid met 19\n- Elk punt verhoogt je gezondheidsherstel met 0,03\n"
"[english]DOTA_StatTooltip_StrengthBonus"	"- Each point increases hit points by 19\n- Each point increases hit point regen by 0.03\n"
"DOTA_StatTooltip_AgilityBonus"	"- Elke 7 punten verhoogt je pantser met 1\n- Elk punt verhoogt je aanvalssnelheid met 1\n"
"[english]DOTA_StatTooltip_AgilityBonus"	"- Every 7 points increase armor by 1\n- Each point increases attack speed by 1\n"
"DOTA_StatTooltip_IntelligenceBonus"	"- Elk punt verhoogt je mana met 13\n- Elk punt verhoogt je manaherstel met 0,04\n"
"[english]DOTA_StatTooltip_IntelligenceBonus"	"- Each point increases mana by 13\n- Each point increases mana regen by 0.04\n"
"DOTA_StatTooltip_PrimaryBonus"	"- Elk punt verhoogt je schade met 1\n"
"[english]DOTA_StatTooltip_PrimaryBonus"	"- Each point increases damage by 1\n"
"DOTA_StatTooltip_Buyback"	"Huidige terugkoopkosten: %s1\n"
"[english]DOTA_StatTooltip_Buyback"	"Current Buy Back Cost: %s1\n"
"DOTA_GoodGuys"	"De Radiant"
"[english]DOTA_GoodGuys"	"The Radiant"
"DOTA_BadGuys"	"De Dire"
"[english]DOTA_BadGuys"	"The Dire"
"DOTA_Towers"	"Resterende torens: %s1"
"[english]DOTA_Towers"	"Remaining Towers: %s1"
"DOTA_Barracks"	"Barakken: %s1"
"[english]DOTA_Barracks"	"Barracks: %s1"
"DOTA_NotAvailable"	"Niet beschikbaar"
"[english]DOTA_NotAvailable"	"Not Available"
"DOTA_MoveForward"	"Camera naar voren"
"[english]DOTA_MoveForward"	"Camera Forward"
"DOTA_MoveBack"	"Camera naar achteren"
"[english]DOTA_MoveBack"	"Camera Back"
"DOTA_MoveLeft"	"Camera naar links"
"[english]DOTA_MoveLeft"	"Camera Left"
"DOTA_MoveRight"	"Camera naar rechts"
"[english]DOTA_MoveRight"	"Camera Right"
"DOTA_CameraGrip"	"Camera verslepen"
"[english]DOTA_CameraGrip"	"Camera Grip"
"DOTA_HeroSelect"	"Held selecteren"
"[english]DOTA_HeroSelect"	"Select Hero"
"DOTA_HeroCenter"	"Held centreren"
"[english]DOTA_HeroCenter"	"Center Hero"
"DOTA_HeroMoveHome"	"Held naar basis bewegen"
"[english]DOTA_HeroMoveHome"	"Hero Move Home"
"DOTA_ControlGroupCycle"	"Controlegroeptab"
"[english]DOTA_ControlGroupCycle"	"Control Group Tab"
"DOTA_ControlGroup6"	"Groep 6"
"[english]DOTA_ControlGroup6"	"Group 6"
"DOTA_Escape"	"Afsluiten"
"[english]DOTA_Escape"	"Escape"
