"lang"
{ 
	"Language" "korean" 
	"Tokens" 
	{
		// To create a new key ( like $health ) just add the entry here
		"dota_ability_variable_health"				"체력"					// $health
		"dota_ability_variable_mana"				"마나"						// $mana
		"dota_ability_variable_armor"				"방어력"						// $armor
		"dota_ability_variable_damage"				"피해"					// $damage
		"dota_ability_variable_str"					"힘"					// $str
		"dota_ability_variable_int"					"지능"				// $int
		"dota_ability_variable_agi"					"민첩"					// $agi
		"dota_ability_variable_all"					"모든 능력치"			// $all
		"dota_ability_variable_primary_attribute"	"주 능력치"			// $primary_attribute
		"dota_ability_variable_attack"				"공격 속도"				// $attack
		"dota_ability_variable_attack_pct"			"기본 공격 속도 백분율"	// $attack_pct
		"dota_ability_variable_hp_regen"			"체력 재생"		// $hp_regen
		"dota_ability_variable_lifesteal"			"흡혈"					// $lifesteal
		"dota_ability_variable_mana_regen"			"마나 재생"			// $mana_regen
		"dota_ability_variable_mana_regen_aura"		"마나 재생의 오라"	// $mana_regen_aura
		"dota_ability_variable_spell_amp"			"주문 피해"				// $spell_amp
		"dota_ability_variable_debuff_amp"			"약화 효과 지속시간"			// $debuff_amp
		"dota_ability_variable_move_speed"			"이동 속도"			// $move_speed
		"dota_ability_variable_evasion"				"회피"					// $evasion
		"dota_ability_variable_spell_resist"		"마법 저항력"			// $spell_resist
		"dota_ability_variable_spell_lifesteal"		"주문 흡혈"			// $spell_lifesteal
		"dota_ability_variable_spell_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_spell_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_spell_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_spell_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_lifesteal_hero_attacks" "영웅 대상 공격"
		"dota_ability_variable_lifesteal_hero_spells" "영웅 대상 능력"
		"dota_ability_variable_lifesteal_creep_attacks" "크립 대상 공격"
		"dota_ability_variable_lifesteal_creep_spells" "크립 대상 능력"
		"dota_ability_variable_selected_attrib"		"선택 능력치"		// $selected_attribute
		"dota_ability_variable_attack_range"		"공격 범위<font color='#7d7d7d'>(원거리만)</font>"	// $attack_range
		"dota_ability_variable_attack_range_melee"	"공격 범위 <font color='#7d7d7d'>(근접만)</font>"	// $attack_range_melee
		"dota_ability_variable_attack_range_all"	"공격 범위<font color='#7d7d7d'>(근접 및 원거리)</font>" // $attack_range_all
		"dota_ability_variable_cast_range"			"시전 범위"				// $cast_range
		"dota_ability_variable_status_resist"		"상태 저항력"			// $status_resist
		"dota_ability_variable_projectile_speed"	"투사체 속도"			// $projectile_speed
		"dota_ability_variable_manacost_reduction"	"마나 소모 감소"		// $manacost_reduction
		"dota_ability_variable_cooldown_reduction"	"쿨다운 감소"		// $cooldown_reduction 
		"dota_ability_variable_max_mana_percentage"	"최대 마나 보너스"			// $max_mana_percentage
		"dota_ability_variable_slow_resistance"		"둔화 저항력"			// $slow_resistance
		"dota_ability_variable_aoe_bonus"			"효과 범위 보너스"					// $aoe_bonus
		"dota_ability_variable_exclusive_movespeed"	"신발 이동 속도"		// $exclusive_movespeed
		"dota_ability_variable_healing_amp"			"주는 치유 증폭" // $healing_amp

		"dota_ability_variable_damage_int_hero"	"피해(지능 영웅)"
		"dota_ability_variable_damage_agi_hero"	"피해(민첩 영웅)"
		"dota_ability_variable_damage_str_hero"	"피해(힘 영웅)"
		"dota_ability_variable_damage_universal_hero"	"피해(복합 영웅)"

		// Hero Names
		// The "__en" versions are for the "Classic Hero Names" option.  These are still separate tokens for languages that want to add compatibility annotations
		"npc_dota_hero_none:n"							"--"
		"npc_dota_hero_none__en:n"						"--"
		"npc_dota_hero_queenofpain:n"					"고통의 여왕"
		"npc_dota_hero_queenofpain__en:n"				"고통의 여왕"
		"npc_dota_hero_antimage:n"						"항마사"
		"npc_dota_hero_antimage__en:n"					"항마사"
		"npc_dota_hero_antimage_persona1:n"				"항마사(웨이)"
		"npc_dota_hero_antimage_persona1__en:n"			"항마사(웨이)"
		"npc_dota_hero_kunkka:n"						"컨카"
		"npc_dota_hero_kunkka__en:n"					"컨카"
		"npc_dota_hero_lina:n"							"리나"
		"npc_dota_hero_lina__en:n"						"리나"
		"npc_dota_hero_mirana:n"						"미라나"
		"npc_dota_hero_mirana__en:n"					"미라나"
		"npc_dota_hero_mirana_persona1:n"				"미라나(용의 피)"
		"npc_dota_hero_mirana_persona1__en:n"			"미라나(용의 피)"
		"npc_dota_hero_slardar:n"						"슬라다"
		"npc_dota_hero_slardar__en:n"					"슬라다"
