"lang"
{ 
	"Language" "finnish" 
	"Tokens" 
	{

				"npc_dota_hero_antimage_bio"													"Turstarkurin munkit seurasivat vuoristoluostaristaan, miten valloittajien aalto toisensa jälkeen pyyhki halki karujen laaksojen. Luostarinsa turvassa askeettiset ja pragmaattiset munkit pysyttelivät erossa arkipäiväisistä riidoista. He syventyivät meditaatioon, joka ei tuntenut jumalia tai taian elementtejä. Sitten laaksoon marssi Kuolleen jumalan legioona. Sen tehtävänä oli korvata kaikenlainen palvonta Hengettömän herran täysin tyhjällä filosofialla. Legioona kokosi tuhat vuotta silkkaa verenvuodatusta ja taistelua kokeneiden kaatuneiden legioonalaisten sielut ja luut ja käänsi ne Turstarkuria vastaan. Luostarin puolustus ei kestänyt edes kahta viikkoa. Meditaationsa keskeyttäneet harvat munkit pitivät valtaajia demonisina näkyinä, joiden tarkoitus oli vain keskeyttää meditaatio. Munkit kuolivat silkkityynyillään istuen. Vain nuori pyhiinvaeltaja selvisi hengissä. Hän oli tullut etsimään viisautta, muttei ollut vielä saanut munkkivihkimystä. Kauhuissaan hän katseli, kuinka munkit, joille hän oli tarjoillut teetä ja nokkosia, teurastettiin ja nostettiin palvelemaan Kuollutta jumalaa. Nuori pyhiinvaeltaja pakkasi mukaansa Turstarkurien kalliit opinkääröt, pakeni turvaan muille maille ja vannoi tuhoavansa Kuolleen jumalan taikain käyttäjät ja kaiken magian."

				"npc_dota_hero_queenofpain_bio"													"Elzen pappiskuningas piti kivusta – kielletystä sellaisesta. Vähemmän merkittävässä poliittisessa henkilössä senkaltaisia haluja olisi voitu pitää harkitsemattomina, mutta hänen asemassaan olevalle monarkille moisten halujen tyydyttäminen olisi tarkoittanut koko jumalaisen valtaistuimen vaarantamista. Siksi hän suuntasikin demonologeja täynnä oleviin tyrmiinsä, luvaten vapauden sille, joka voisi kutsua hänelle henkilökohtaisen sukkubuksen ja vangita sen täysin hänen palvelukseensa. Olento joka saapui, Akasha nimeltään, esitteli hänelle niin erinomaisia piinoja, että hän nimesi sen Salaiseksi kuningattarekseen, ja alkoi viettää kaikki vapaat hetkensä alistuen sen oveliin menetelmiin – luopuen lopulta kaikista velvollisuuksistaan jahdatessaan kivuliaita nautintoja, joita vain se voisi tarjota. Queen of Pain kykeni viemään hänet kuoleman partaalle, mutta riimulukko esti sitä tappamasta häntä. Lopulta kuninkaan välinpitämättömyys valtion asioita kohtaan aiheutti vallankumouksen. Hänet raahattiin kammiostaan ja heitettiin Loitsujen tornista. Kuninkaan kuoleman hetkellä Queen of Pain lähti maailmalle, vapautettuna palveluksesta – vapaana esittelemään kärsimyksiään jokaiselle, jonka suvaitsi huomata."

				"npc_dota_hero_lina_bio"														"Sisaruskiistat Lina the Slayerin ja hänen nuoremman siskonsa Rylain, Crystal Maidenin, välillä olivat oivaa legendamateriaalia leudolla alueella, jossa he viettivät riitaisat lapsuutensa. Lina oli aina niskan päällä, sillä vaikka Crystal oli rehellinen ja naiivi, Linan tulista kiihkoa oli karkaistu viekkaudella ja juonittelulla. Näiden yhteensopimattomien jälkeläisten katkeroituneet vanhemmat kävivät läpi puoli tusinaa kotitilaa, menettäen vuorotellen yhden tulelle ja seuraavan jäälle, kunnes tajusivat, että olisi yksinkertaisempaa erottaa lapset toisistaan. Vanhimpana Lina lähetettiin kauas etelään, polttavalle Misrulen aavikolle, asumaan kärsivällisen tätinsä luokse. Ilmasto sopi täydellisesti Linan tuliselle luonteelle. Hänen saapumisensa teki vaikutuksen ikävystyneisiin paikallisiin, ja useampikin mahdollinen kosija poltti näppinsä tai lähti palanein kulmakarvoin saatuaan rukkaset. Lina on ylpeä ja itsevarma, eikä mikään voi sammuttaa hänen liekkiään."

				"npc_dota_hero_mirana_bio"														"Kuninkaalliseen perheeseen syntyneenä, vereltään prinsessana ja Aurinkovaltaistuimen perijänä Mirana luopui vapaaehtoisesti kaikesta oikeudesta arkipäiväiseen maahan tai titteliin omistautuessaan täysin Selemenen, Kuun jumalattaren palvelukseen. Kuun prinsessana siitä lähtien tunnettu Mirana vaanii pyhää Yöhopean metsää, etsien kaikkia, jotka uskaltavat yrittää varastaa pyhää hohtavaa lootusta jumalattaren reviirin hopeisista altaista. Valtavalla kissapedollaan ratsastaen hän on varma, ylpeä ja peloton, tottunut kuun vaiheisiin ja suurempien tähtimerkkien vaihteluun. Hänen jousensa, terävät kuumalmin sirut kärjissään, käyttää kuun voimaa vahvistaakseen valon nuoliaan."

				"npc_dota_hero_life_stealer_bio"												"Devarquen vankityrmien kahleissa viruva kostonhimoinen velho suunnitteli pakoaan. Hän jakoi sellinsä höpöttävän otuksen kanssa nimeltään N'aix, johon Katala neuvosto oli langettanut pitkäikäisyyden loitsun, jotta hän kärsisi mahdollisimman pitkään elinkautistaan ryöstelystä ja petoksesta. Vuosien aikana N'aixin kahleet olivat ruostuneet, kuten myös sen järki; N'aix ei muistanut mitään aikaisemmasta elämästään eikä enää halunnut edes paeta. 
<br><br>Velho näki tämän täydellisenä apuna omaan pakoonsa ja loihti elämänvoimansa N'aixin ruumiiseen, aikoen uhrata sen väkivaltaisesti ja paeta itse samalla takavasemmalle. Sen sijaan velho huomasi joutuneensa liian syvälle hulluuden syövereihin ja lopulta pakosuunnitelmat pyyhkiytyivät hänen pirstoutuneesta mielestään. Uusi elämä N'aixin sisällä ravisteli sen hereille hullusta painajaisestaan. N'aix totteli päänsä sisällä kuuluvaa ääntä, jolla oli vain yksi tavoite: pako. 
<br><br>Näin syntyi Elonsyöjä. Tämä otus loihti mielensä vankityrmän vartijoihin ja sotilaisiin, saaden heidät väistymään hänen tieltään vapauteen ja syöden heidän elämänsä. Elonsyöjä kantaa edelleen ruosteisia kahleita mukanaan varoituksena kaikille, että häntä ei voi vangita. Sisältään hän on kuitenkin edelleen vanki. Samassa ruumiissa elää kaksi mieltä – nimetön, kiero ja pahansuopa otus sekä isäntä, jonka ääntä se esittää tottelevansa."

				"npc_dota_hero_furion_bio"														"Kun Verodicia, metsien jumalatar, oli täyttänyt maailman vihreällä, istuttanut siemenensä henkeensä, lannoittanut maan sielullaan, kastellut kasvit verellään, ja hoivannut luontoa auringon kanssa, huomasi hän, että hänen aikansa oli käymässä vähiin, eikä hän tulisi näkemään unelmansa kukoistamista. Hänen sydämeensä sattui jättää teoksensa puolitiehen, kun kasvit eivät olleet vielä puhjenneet kukkaan, ja ne olisivat heikkoja ja vastustuskyvyttömiä kaikkea maan pahuutta vastaan. Mutta hän löysi siemenpussistaan yhden siemenen, jonka hän oli unohtanut istuttaa. Hän sanoi sille yhden sanan ja nielaisi sen kuollessaan. Hänen vartalonsa maatui pitkän talven aikana, muuttuen mullaksi, joka ruokkisi siemenet keväällä. Ja kevätpäiväntasauksena, ennen kuin muu luonto alkoi heräämään, hänen siemenensä kasvoi ja halkesi hetkessä. Siitä astui ulos Luonnon profeetta, täydessä terässään, omaten Verodician voimat, joilla hän kykenee suojelemaan luontoa ja heitä, jotka ovat tarpeeksi onnekkaita ollakseen hänen puolellaan."	

				"npc_dota_hero_windrunner_bio"													"Läntiset metsät suojelevat salaisuuksiaan tarkoin. Yksi näistä on Lyralei, metsien mestarijousiampuja ja jumalten suosima tuulityttö. Nykyään Windranger-nimeä kantavan Lyralein perhe kuoli myrskyssä hänen syntymänsä jälkeisenä yönä. Puhuri repi kotitalon palasiksi ja lennätti tavarat taivaan tuuliin. Vain vastasyntynyt Lyralei selvisi turmion myrskystä ja sen aiheuttamista tuhoista. Myrskyn laannuttua tuuli huomasi onnekkaan taaperon itkemässä maassa. Tuulen kävi lasta sääliksi, joten se nosti tytön ilmaan ja lennätti naapurikylään talon rappusille. Vuosien ajan tuuli palasi seuraamaan, miten Lyralei hioi taitojaan. Vuosikausien harjoittelu on kantanut hedelmää, ja nykyään Windrangerin nuolet osuvat aina kohteisiin. Hän liikkuu häikäisevällä nopeudella, aivan kuin tuulen viemänä. Hän lakoaa viholliset nuolisateella ja on kuin luonnonvoima itsekin."

