"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Куартеро"
	"DOTA_VisualNovel_seasonal_quartero_Heading_generic"		"Заглавие на Куартеро"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-1_Quartero_0"		"Добре дошли в „Антикварните куриози на Куартеро“!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-2_Quartero_0"		"Куартеро необремененият, на Ваше разположение!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-3_Quartero_0"		"Добре дошли, герои! Елате, пристъпете вътре!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-4_Quartero_0"		"Единствената уловката е, че… НЯМА такава! И тъй общо става една уловка!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-5_Quartero_0"		"Всичко тук е безценно! И под това имам предвид — безплатно!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-6_Quartero_0"		"Антикварните куриози на Куартеро! Където безценното не разполага с етикет за цена!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-7_Quartero_0"		"Моето проклятие е Вашият рог на изобилието!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-8_Quartero_0"		"Съкровищата ми са безценен! Буквално!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-9_Quartero_0"		"Пристъпете вътре!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-10_Quartero_0"		"Добре дошли в моя скромен крайпътен емпориум! Пристъпете връз моите одеялца!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-11_Quartero_0"		"Всичко това би могло да бъде Ваше!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-12_Quartero_0"		"Трагичната предистория е достъпна при поискване! А дори и ако не я искате!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-13_Quartero_0"		"Щедростта ми не знае що е туй граници!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-14_Quartero_0"		"Ах, герой! Тъкмо клиентът, на когото не мога да откажа!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-15_Quartero_0"		"Всички тези набори от артикули… и не ще зърнете ни един етикет с цена!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-16_Quartero_0"		"Плячка и съкровища за крале и завоеватели!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-17_Quartero_0"		"Щедростта ми не знае що е туй граници! Благодарение на зловещото проклятие!"
