"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_quartero_Heading_generic"		"Kvarten – overskrift"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-1_Quartero_0"		"Velkommen til Kvartens kuriositeter!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-2_Quartero_0"		"Kvarten den byrdeløse, til tjeneste!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-3_Quartero_0"		"Velkommen, helt! Stig på!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-4_Quartero_0"		"Den eneste haken ... er at det IKKE er noen hake! Så, én hake totalt!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-5_Quartero_0"		"Alt her er uvurderlig! Og med det mener jeg gratis!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-6_Quartero_0"		"Kvartens kuriositeter! Der det uvurderlige ikke har noen prislapp!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-7_Quartero_0"		"Min forbannelse – ditt overflødighetshorn!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-8_Quartero_0"		"Skattene mine er uvurderlige! Bokstavelig talt!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-9_Quartero_0"		"Stig på!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-10_Quartero_0"		"Velkommen til min lille landhandel! Bare se deg rundt!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-11_Quartero_0"		"Alt dette kan bli ditt!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-12_Quartero_0"		"Tragisk bakgrunnshistorie er tilgjengelig etter anmodning! Eller kanskje uansett!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-13_Quartero_0"		"Gavmildheten min kjenner ingen grenser!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-14_Quartero_0"		"Oi, en helt! Akkurat den kunden jeg ikke kan nekte!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-15_Quartero_0"		"Alle disse gjenstandssettene ... og ikke en prislapp i sikte!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-16_Quartero_0"		"Krigsbytte og skatter for konger og erobrere!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-17_Quartero_0"		"Gavmildheten min kjenner ingen grenser! Takket være en uhyggelig forbannelse!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-18_Quartero_0"		"Gavmildheten min er grenseløs! Enten jeg liker det eller ei!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-19_Quartero_0"		"Velkommen til Kvartens kuriositeter! Der alt er GRATIS, og jeg er juridisk forpliktet til å late som jeg er fornøyd med det."
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-20_Quartero_0"		"Jeg heter Kvarten! Spør meg gjerne om min tragiske bakgrunnshistorie!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-21_Quartero_0"		"Min tragiske bakgrunnshistorie er inkludert gratis med hvert kjøp!"
	"DOTA_VisualNovel_seasonal_quartero2_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_quartero2_Heading_generic"		"Kvarten – overskrift"
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-1_Quartero_0"		"Tidligere sesonger av mine elleville eventyr er låst opp. Det stemmer, du kan nå gå tilbake og lytte til den melodiøse stemmen min så mye du vil. Mmmm, som en fin, skotsk whisky tømt i et glass av fløyel."
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-2_Quartero_0"		"Hei sann! Jeg er Kvarten, den gavmilde geitemannen."
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-3_Quartero_0"		"Hei sann! Du ser ut som typen som liker gratisting. Jeg heter Kvarten. Jeg gir bort ting helt gratis!"
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-4_Quartero_0"		"Kunne du tenke deg å få gratisting for å spille dataspill? Det håper jeg du gjør! Hvis ikke må du jo være dum."
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-5_Quartero_0"		"Kunne du tenke deg en haug med gjenstandssett helt gratis, uten betingelser? Det tror jeg nok, din grådige lille ..."
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-6_Quartero_0"		"Velkommen til Kvartens kuriositeter! Det er ikke bare meg lenger, nå har du et helt galleri av karakterer du kan klage på."
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-8_Quartero_0"		"Du ser ut som en som dreper folk i skogen. Tenker du har lyst til å ha på deg noen stilige klær å gjøre det i. Det kan jeg hjelpe med!"
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-9_Quartero_0"		"Å, en helt! Drept noen i skogen i det siste? (Småler) Bare tuller ... skjønt du ser ut som en som har gjort det nylig. Vel, la oss ta en titt på disse gratis gjenstandssettene."
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-10_Quartero_0"		"Å, se hvem det er! Tenk at vi møtes her ... på det stedet der du vet jeg alltid er. Lyst på flere gratisting, eller? Klandrer deg ikke, din utakknemlige [mumling]."
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-11_Quartero_0"		"Hei sann! Hva synes du om gratisting? Hva er haken, sier du? Hva har du? ... nei, bare tuller. Alt er gratis! Eller vent, har du penger på deg? Sånn, masse penger?"
	"DOTA_VisualNovel_seasonal_quartero2_Dialogue_generic-12_Quartero_0"		"Hei sann! Jeg er Kvarten, og alt du kan se under denne lille sirkelen jeg sitter i, er helt gratis! Vel, du må spille Dota for å få det, men ærlig talt ... det hadde du jo tenkt uansett."
	"DOTA_VisualNovel_seasonal_fall_2025_Actor_Quartero"		"Kvarten"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-01"		"Witch Doctor – Papa Wanga"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-02"		"Vengeful Spirit – Maledictions of Morrigan"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-03"		"Legion Commander – Drakon's Deed"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-04"		"Legion Commander – Drakon's Ire"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_0"		"Oi, en helt! Velkommen til Kvartens kuriositeter!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_1"		"Kom, kom, stig på, ikke bare stå der i veikanten!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_2"		"Stig inn i stormagasinet mitt! På den andre siden av veien!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_3"		"Jeg heter Kvarten! Jeg er innehaveren av dette etablissementet."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_4"		"Eller i det minste denne lille flekken i veikanten jeg har tilegnet meg til det formålet."
