"novel"
{
	"DOTA_VisualNovel_seasonal_quartero_Actor_Quartero"		"Квортеро"
	"DOTA_VisualNovel_seasonal_quartero_Heading_generic"		"Заголовок Квортеро"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-1_Quartero_0"		"Добро пожаловать в «Диковинки Квортеро»!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-2_Quartero_0"		"Квортеро Необременённый к вашим услугам!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-3_Quartero_0"		"Проходите, не стесняйтесь, вы же герой!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-4_Quartero_0"		"Подвох лишь в том, что... никакого подвоха нет! Получается, подвох всего один."
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-5_Quartero_0"		"Мои товары бесценны! А точнее говоря, бесплатны!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-6_Quartero_0"		"Диковинки Квортеро — ценности без ценника!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-7_Quartero_0"		"Мне проклятие — вам изобилие!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-8_Quartero_0"		"Мои сокровища бесценны! Буквально!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-9_Quartero_0"		"Милости прошу!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-10_Quartero_0"		"Добро пожаловать в мой скромный придорожный бутик! Проходите на простыни!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-11_Quartero_0"		"Всё это может стать вашим!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-12_Quartero_0"		"Могу поведать свою трагическую предысторию, если пожелаете! И даже если не пожелаете!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-13_Quartero_0"		"Моя щедрость не знает границ!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-14_Quartero_0"		"Да это же герой! Такому клиенту я никак не могу отказать!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-15_Quartero_0"		"Так много наборов... и ни единого ценника!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-16_Quartero_0"		"Трофеи и сокровища для королей и завоевателей!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-17_Quartero_0"		"Моя щедрость не знает границ! Скажите спасибо жуткому проклятью!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-18_Quartero_0"		"Моя щедрость безгранична, хочу я этого или нет!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-19_Quartero_0"		"Добро пожаловать в «Диковинки Квортеро», где всё отдают БЕСПЛАТНО, а я юридически обязан делать вид, что меня это устраивает."
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-20_Quartero_0"		"Меня зовут Квортеро! Обязательно поинтересуйтесь моей трагической предысторией!"
	"DOTA_VisualNovel_seasonal_quartero_Dialogue_generic-21_Quartero_0"		"К каждой покупке прилагается моя трагическая предыстория!"
	"DOTA_VisualNovel_seasonal_fall_2025_Actor_Quartero"		"Квортеро"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-01"		"Witch Doctor — Papa Wanga"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-02"		"Vengeful Spirit — Maledictions of Morrigan"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-03"		"Legion Commander — Drakon's Deed"
	"DOTA_VisualNovel_seasonal_fall_2025_Heading_itemset-04"		"Legion Commander — Drakon's Ire"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward__title_0"		"Papa Wanga's Poppet"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_0"		"А, герой! Добро пожаловать в «Диковинки Квортеро»!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_1"		"Заходите-заходите! Нечего вам стоять на обочине!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_2"		"Милости прошу в мой бутик! Проходите сюда, на другую обочину!"
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_3"		"Меня зовут Квортеро, и это моё дивное заведение."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_4"		"Если считать заведением ту часть обочины, которую я приспособил под свои нужды."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_5"		"Дайте-ка я расстелю простыни, чтобы вы подошли и получше рассмотрели мои бесценные сокровища."
	"DOTA_VisualNovel_seasonal_fall_2025_Dialogue_itemset-01-ward_Quartero_6"		"Могу ли я вам что-нибудь предложить? У меня есть недоеденная банка сардин, хотите?"
