"lang"
{ 
	"Language" "brazilian" 
	"Tokens" 
	{

		"DOTA_TrophyName_Quartero_Fall2025"				"Quartero 2025"
		"DOTA_TrophyDesc_Quartero_Fall2025"				"Níveis obtidos durante a temporada do Outono de 2025 do Quartero."

		"DOTA_Reward_Line_Year_2025"									"2025"
		"DOTA_Reward_Line_Fall_2025_Title"								"QUIOSQUE<br>DO QUARTERO"
		"DOTA_Reward_Line_Fall_2025_Description"						"Jogue Dota para destravar recompensas sazonais"

		"DOTA_Reward_Line_Fall_2025_HeroSetReward"						"Antiguidade do Quartero"
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardDescription"			"Receba um entre mais de 100 conjuntos de heróis já lançados, com uma pequena chance de ganhar um item Imortal ou Arcano."
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardFlavor"				"\"Eu me lembro a quem este conjunto de itens pertencia originalmente. Trágico. Enfim, brutal mesmo. Prefiro nem falar mais nada, caso o C-O-N-J-U-N-T-O esteja ouvindo.\""

		"DOTA_Seasonal_Quartero"										"Quartero"

		"DOTA_Seasonal_Fall_2025_Title"									"Quiosque do Quartero"
		"DOTA_Seasonal_Fall_2025_Subtitle"								"Recompensas do outono"
		"DOTA_Seasonal_Fall_2025_Intro"									"\"Saudações, heróis! Eu sou Quartero, o Aliviado! Não liguem para as minhas feições nada confiáveis! Foque somente nas palavras saindo da minha boca nada confiável.<br><br>E se eu contasse que estava pronto para oferecer tesouros inestimáveis... de graça?<br><br>E qual é o pulo do gato? O pulo do gato é que... não há pulo do gato! Este é o único pulo do gato.\""
		"DOTA_Seasonal_Fall_2025_Description"							"Jogue Dota e destrave cosméticos gratuitamente!"
		"DOTA_Seasonal_Fall_2025_Ends_On"								"Disponível até:"

		"DOTA_Seasonal_Winter_2025_Title"								"Quiosque do Quartero"

		"DOTA_Seasonal_Winter_2025_q02_intro_01"						"\"Boas-vindas novamente ao Quiosque do Quartero... Agora com novas antiguidades aprimoradas!"
		"DOTA_Seasonal_Winter_2025_q02_intro_02"						"O Quartero andou lendo as mensagens de todos os seus fãs, e as opiniões foram unânimes!"
		"DOTA_Seasonal_Winter_2025_q02_intro_03"						"Todos AMARAM a distribuição de antiguidades! E ODIARAM a distribuição de antiguidades!"
		"DOTA_Seasonal_Winter_2025_q02_intro_04"						"Então! Desta vez, o Quartero se certificará de que a sua primeira antiguidade seja incrivelmente super especial!"
		"DOTA_Seasonal_Winter_2025_q02_intro_05"						"Escolhidas pessoalmente por este que vos fala, para garantir a melhor qualidade possível."
		"DOTA_Seasonal_Winter_2025_q02_intro_06"						"Depois disso, volta tudo ao que era. Mas... você terá mais chances de ganhar."
