"lang"
{ 
	"Language" "czech" 
	"Tokens" 
	{

		"DOTA_TrophyName_Quartero_Fall2025"				"Čtverákovy cetky (podzim 2025)"
		"DOTA_TrophyDesc_Quartero_Fall2025"				"Trofej zaznamenávající úroveň, které jsi dosáhl ve Čtverákových cetkách na podzim 2025."

		"DOTA_Reward_Line_Year_2025"									"2025"
		"DOTA_Reward_Line_Fall_2025_Title"								"ČTVERÁKOVY<br>CETKY"
		"DOTA_Reward_Line_Fall_2025_Description"						"Hraj zápasy a odemykej sezónní odměny"

		"DOTA_Reward_Line_Fall_2025_HeroSetReward"						"Čtverákova starožitnost"
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardDescription"			"Získej jeden z více než sta dříve vydaných setů předmětů. Plus existuje malá šance na to, že získáš Immortal nebo Arcana předmět."
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardFlavor"				"„Pamatuju si, komu tenhle set původně patřil. Skončil tragicky. Nebo přinejmenším brutálně. Ale víc radši neřeknu, kdyby mě ten set slyšel.“"

		"DOTA_Seasonal_Quartero"										"Čtverák"

		"DOTA_Seasonal_Fall_2025_Title"									"Čtverákovy cetky"
		"DOTA_Seasonal_Fall_2025_Subtitle"								"Odměny pro podzim 2025"
		"DOTA_Seasonal_Fall_2025_Intro"									"„Zdravím, hrdino! Mé jméno je Čtverák Rozdavačný! Nesuď mě však podle mé nedůvěryhodné tváře a namísto toho se zaměř na slova vycházející z mých nedůvěryhodných úst!<br><br>Co kdybych ti řekl, že jsem připraven zasypat tě poklady nevýslovné hodnoty... úplně zdarma?<br><br>V čem je háček? V tom, že to nemá žádný háček! Takže vlastně jeden háček!“"
		"DOTA_Seasonal_Fall_2025_Description"							"Hraj zápasy a odemykej odměny zdarma!"
		"DOTA_Seasonal_Fall_2025_Ends_On"								"Otevřeno do:"

		"DOTA_Seasonal_Winter_2025_Title"								"Čtverákovy cetky"

		"DOTA_Seasonal_Winter_2025_q02_intro_01"						"„Vítej zpět u Čtverákových cetek... s novými a vylepšenými starožitnostmi!"
		"DOTA_Seasonal_Winter_2025_q02_intro_02"						"Četl jsem si totiž poštu od fanoušků, a ohlasy byly jednomyslné!"
		"DOTA_Seasonal_Winter_2025_q02_intro_03"						"Všichni ZBOŽŇOVALI náhodné starožitnosti! A NESNÁŠELI náhodné starožitnosti!"
		"DOTA_Seasonal_Winter_2025_q02_intro_04"						"Takže! Tentokrát si dám záležet, aby tvoje první starožitnost byla extra super výjimečná!"
		"DOTA_Seasonal_Winter_2025_q02_intro_05"						"Ručně připravená mnou samým, aby byla skutečně té nejvyšší možné kvality."
		"DOTA_Seasonal_Winter_2025_q02_intro_06"						"Další starožitnosti pak budou klasického střihu. Ale budeš mít více příležitostí je získat!"
		"DOTA_Seasonal_Winter_2025_q02_intro_07"						"A v neposlední řadě budeš mít vždy na výběr z několika náhodných odměn."
		"DOTA_Seasonal_Winter_2025_q02_intro_08"						"Vše ostatní zůstává při starém! Hraj zápasy a postupně odemykej unikátní sety!"
		"DOTA_Seasonal_Winter_2025_q02_intro_09"						"Příjemnou zábavu přeje Čtverák, ten vysmátý kozí muž, kterému všichni posílají akorát nazlobené a urážlivé dopisy!“"

		"DOTA_Seasonal_Winter_2025_Description"							"Hraj zápasy a odemykej odměny zdarma!"
		"DOTA_Seasonal_Winter_2025_Ends_On"								"Otevřeno do:"
		"DOTA_Seasonal_Winter_2025_Outro_01"							"„Tik, tak, hrdino! Nenech si utéct poklady nevyčíslitelné hodnoty!"
		"DOTA_Seasonal_Winter_2025_Outro_02"							"Jakmile odpočet dosáhne nuly, tyto sety zmizí... NEJSPÍŠ NAVŽDY! Kdo ví, na jak dlouho přesně! Ale nějaká doba to určitě bude.“"

		"DOTA_Seasonal_VisualNovel_ClickToContinue"						"Klikni pro pokračování"
		"DOTA_Seasonal_VisualNovel_Reward"								"ODMĚNA:"
		
		"DOTA_Seasonal_Fall_2025_WD_Bundle"								"Papa Wanga"
		"DOTA_Seasonal_Fall_2025_LC_Bundle"								"Drakon's Deed"
		"DOTA_Seasonal_Fall_2025_LC_Bundle2"							"Drakon's Ire"
		"DOTA_Seasonal_Fall_2025_VS_Bundle"								"Maledictions of Morrigan"

		"DOTA_Quartero_Set_Tier1"								"1. hodnost"
		"DOTA_Quartero_Set_Tier2"								"2. hodnost"

		"DOTA_Fall2025_EventLevel_Tooltip_Title"				"Úroveň odměn"
		"DOTA_Fall2025_EventLevel_Tooltip_Status_Level"			"<b>{d:event_level}.</b> úroveň"
		"DOTA_Fall2025_EventLevel_Tooltip_Status"				"{d:level_progress} / {d:points_per_level} XP"
		"DOTA_Fall2025_EventLevel_Tooltip_Body"					"Hraj zápasy, získávej XP a odemykej další Čtverákovy cetky.<br><br>Výhra = {d:win_xp} XP. Prohra = {d:lose_xp} XP.<br><i>Turbo:</i> Výhra = {d:win_turbo_xp} XP. Prohra = {d:lose_turbo_xp} XP."
		"DOTA_Fall2025_EventLevel_Tooltip_PreviousMatchInfo"	"({d:points_gained} XP z předchozího zápasu)"
		"DOTA_Fall2025_FirstReward_Tooltip"			"Je pro tebe dostupná první cetka!<br>Kliknutím si ji vyzvedni."
		"DOTA_Fall2025_SeasonalParticlesTitle"		"Sezónní efekty"
		"DOTA_Fall2025_RandomHeroSets"				"Starožitnosti"
		"DOTA_Fall2025_Tier1"						"1. hodnost"
		"DOTA_Fall2025_Tier2"						"2. hodnost"

		"DOTA_Seasonal_Winter_2025_ShadowShaman_Bundle"		"Nether Beetle"
		"DOTA_Seasonal_Winter_2025_SF_Bundle"				"Molten Monarch"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle"				"Ember Enforcer"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle2"				"Gilded Tyrant"

		"DOTA_Reward_Line_Winter_2025_HeroSetRewardDescription"		"Vyber si jeden z pěti náhodných setů předmětů.<br><br>Sety jsou náhodně losovány z více než sta dříve vydaných a existuje malá šance na to, že ti bude nabídnut Immortal nebo Arcana předmět."
		"DOTA_Reward_Line_Winter_2025_HQHeroSetRewardDescription"	"Vyber si jeden z pěti náhodných, super-duper speciálních setů předmětů.<br><br>Sety jsou náhodně losovány z více než sta dříve vydaných a existuje šance na to, že ti bude nabídnut Immortal nebo Arcana předmět."

		"DOTA_Past_Seasonal_Event_Claim_Text"	"Předchozí odměny si můžeš zakoupit za plusové střepy"

		"DOTA_Quartero_EventPurchasePoints_Title" "Zakoupit body za plusové střepy"
		"DOTA_Quartero_EventPurchasePoints_Text" "Opravdu si chceš za {g:dota_shards_value:points_to_spend} zakoupit {d:points_to_buy} Čtverákových bodů a odemknout tak {d:level_to_buy}. úroveň?"
		"DOTA_Quartero_EventPurchasePointsNotEnough_Text" "Nemáš {g:dota_shards_value:points_to_spend} plusových střepů, které jsou potřeba pro zakoupení {d:points_to_buy} Čtverákových bodů."

	}
} 
