"lang"
{ 
	"Language" "norwegian" 
	"Tokens" 
	{

		"DOTA_TrophyName_Quartero_Fall2025"				"Kvarten 2025"
		"DOTA_TrophyDesc_Quartero_Fall2025"				"Opptjente nivå hos Kvarten i løpet av høsten 2025."

		"DOTA_Reward_Line_Year_2025"									"2025"
		"DOTA_Reward_Line_Fall_2025_Title"								"KVARTENS<br>KURIOSITETER"
		"DOTA_Reward_Line_Fall_2025_Description"						"Spill Dota for å låse opp sesongbelønninger"

		"DOTA_Reward_Line_Fall_2025_HeroSetReward"						"Kvartens antikviteter"
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardDescription"			"Motta ett av over 100 tidligere utgitte heltesett, med en liten sjanse for å få en udødelig gjenstand eller arkana."
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardFlavor"				"«Jeg husker hvem dette gjenstandssettet opprinnelig tilhørte. Tragisk. Vel, brutalt i hvert fall. Jeg sier ikke mer, i tilfelle S-E-T-T-E-T hører meg.»"

		"DOTA_Seasonal_Quartero"										"Kvarten"

		"DOTA_Seasonal_Fall_2025_Title"									"Kvartens kuriositeter"
		"DOTA_Seasonal_Fall_2025_Subtitle"								"Høstbelønninger"
		"DOTA_Seasonal_Fall_2025_Intro"									"«Vær hilset, helter! Jeg er Kvarten den byrdeløse! Ikke bry dere om det upålitelige ansiktet mitt! Fokuser heller på ordene som kommer fra den upålitelige munnen min.<br><br>Hva om jeg fortalte dere at jeg var klar for å drysse overdådige skatter over dere … helt gratis? Hva er haken? Haken … er at der ikke er noen hake! Så kun én hake i alt.»"
		"DOTA_Seasonal_Fall_2025_Description"							"Spill Dota og lås opp gratis pyntegjenstander til helter!"
		"DOTA_Seasonal_Fall_2025_Ends_On"								"Tilgjengelig til:"

		"DOTA_Seasonal_Winter_2025_Title"								"Kvartens kuriositeter"

		"DOTA_Seasonal_Winter_2025_q02_intro_01"						"«Velkommen tilbake til Kvartens kuriositeter … nå med nye og forbedrede antikviteter!"
		"DOTA_Seasonal_Winter_2025_q02_intro_02"						"Kvarten har lest all fanposten, og tilbakemeldingene er samstemmig!"
		"DOTA_Seasonal_Winter_2025_q02_intro_03"						"Alle ELSKET antikvitetsgavene! Og HATET antikvitetsgavene!"
		"DOTA_Seasonal_Winter_2025_q02_intro_04"						"Så! Denne gangen skal Kvarten sørge for at den første antikviteten du får, er en superbra spesiell en!"
		"DOTA_Seasonal_Winter_2025_q02_intro_05"						"Håndvalgt av meg selv for å sørge for at den er av høyest mulig kvalitet."
		"DOTA_Seasonal_Winter_2025_q02_intro_06"						"Så er det tilbake til de vanlige tingene. Men! Du får flere sjanser til å vinne."
		"DOTA_Seasonal_Winter_2025_q02_intro_07"						"Sist, men ikke minst! Nå får du plukke ut skatten fra et utvalg av alternativer."
		"DOTA_Seasonal_Winter_2025_q02_intro_08"						"Alt annet er det samme! Spill spillet og vinn unike gjenstandssett helt gratis!"
		"DOTA_Seasonal_Winter_2025_q02_intro_09"						"Takket være meg, Kvarten! Den lykkelige geitemannen du skriver sinte, stygge brev til.»"

		"DOTA_Seasonal_Winter_2025_Description"							"Spill Dota og lås opp gratis pyntegjenstander til helter!"
		"DOTA_Seasonal_Winter_2025_Ends_On"								"Tilgjengelig til:"
		"DOTA_Seasonal_Winter_2025_Outro_01"							"«Klokken tikker! Ikke la tiden renne ut for disse uvurderlige skattene!"
		"DOTA_Seasonal_Winter_2025_Outro_02"							"Når tiden går ned til null, forsvinner disse gjenstandssettene … FOR ALLTID! MULIGENS! Hvem vet! De blir borte en god stund i alle fall.»"

		"DOTA_Seasonal_VisualNovel_ClickToContinue"						"Trykk for å fortsette"
		"DOTA_Seasonal_VisualNovel_Reward"								"BELØNNING:"
		
		"DOTA_Seasonal_Fall_2025_WD_Bundle"								"Papa Wanga"
		"DOTA_Seasonal_Fall_2025_LC_Bundle"								"Drakon's Deed"
		"DOTA_Seasonal_Fall_2025_LC_Bundle2"							"Drakon's Ire"
		"DOTA_Seasonal_Fall_2025_VS_Bundle"								"Maledictions of Morrigan"

		"DOTA_Quartero_Set_Tier1"								"Kategori 1"
		"DOTA_Quartero_Set_Tier2"								"Kategori 2"

		"DOTA_Fall2025_EventLevel_Tooltip_Title"				"Kuriositetsnivå"
		"DOTA_Fall2025_EventLevel_Tooltip_Status_Level"			"Nivå <b>{d:event_level}</b>"
		"DOTA_Fall2025_EventLevel_Tooltip_Status"				"{d:level_progress} / {d:points_per_level} XP"
		"DOTA_Fall2025_EventLevel_Tooltip_Body"					"Spill kamper for å tjene nivå og låse opp nye kuriositeter fra Kvarten.<br><br>Seire = {d:win_xp} XP. Tap = {d:lose_xp} XP.<br><i>Turbo</i>: Seire = {d:win_turbo_xp} XP. Tap = {d:lose_turbo_xp} XP."
		"DOTA_Fall2025_EventLevel_Tooltip_PreviousMatchInfo"	"({d:points_gained} XP fra forrige kamp.)"
		"DOTA_Fall2025_FirstReward_Tooltip"			"Den første kuriositeten er tilgjengelig!<br>Trykk for å motta gratisgjenstanden."
		"DOTA_Fall2025_SeasonalParticlesTitle"		"Begivenhetseffekter"
		"DOTA_Fall2025_RandomHeroSets"				"Antikviteter"
		"DOTA_Fall2025_Tier1"						"Kategori 1"
		"DOTA_Fall2025_Tier2"						"Kategori 2"

		"DOTA_Seasonal_Winter_2025_ShadowShaman_Bundle"		"Nether Beetle"
		"DOTA_Seasonal_Winter_2025_SF_Bundle"				"Molten Monarch"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle"				"Ember Enforcer"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle2"				"Gilded Tyrant"

		"DOTA_Reward_Line_Winter_2025_HeroSetRewardDescription"		"Velg mellom 5 tilfeldige heltesett.<br><br>Valgmulighetene er tilfeldig utvalgt fra over 100 tidligere utgitte sett med en liten sjanse for å være en udødelig gjenstand eller arkana."
		"DOTA_Reward_Line_Winter_2025_HQHeroSetRewardDescription"	"Velg mellom 5 tilfeldige superspesielle heltesett.<br><br>Valgmulighetene er tilfeldig utvalgt fra over 100 tidligere utgitte sett med en sjanse for å være en udødelig gjenstand eller arkana."

		"DOTA_Past_Seasonal_Event_Claim_Text"	"Bruk Dota Plus-skår for å motta tidligere belønninger"

		"DOTA_Quartero_EventPurchasePoints_Title" "Bruk Dota Plus-skår for Kvarten-poeng"
		"DOTA_Quartero_EventPurchasePoints_Text" "Vil du bruke {g:dota_shards_value:points_to_spend} til å kjøpe {d:points_to_buy} Kvarten-poeng for å låse opp nivå {d:level_to_buy}?"
		"DOTA_Quartero_EventPurchasePointsNotEnough_Text" "Du har ikke {g:dota_shards_value:points_to_spend} til å kjøpe {d:points_to_buy} Kvarten-poeng."

	}
} 
