"lang"
{ 
	"Language" "portuguese" 
	"Tokens" 
	{

		"DOTA_TrophyName_Quartero_Fall2025"				"Quartero 2025"
		"DOTA_TrophyDesc_Quartero_Fall2025"				"Níveis obtidos no evento de outono de 2025 do Quartero."

		"DOTA_Reward_Line_Year_2025"									"2025"
		"DOTA_Reward_Line_Fall_2025_Title"								"CURIOSIDADES<br>DO QUARTERO"
		"DOTA_Reward_Line_Fall_2025_Description"						"Joga Dota e ganha recompensas especiais"

		"DOTA_Reward_Line_Fall_2025_HeroSetReward"						"Antiguidade do Quartero"
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardDescription"			"Recebe um de mais de 100 conjuntos lançados anteriormente, com uma pequena probabilidade de ganhares um Imortal ou Arcano."
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardFlavor"				"\"Lembro-me do proprietário original deste conjunto. Uma história trágica... Bem, brutal foi, de certeza. Prefiro não dizer mais nada, caso o C‑O‑N‑J‑U‑N‑T‑O me esteja a ouvir.\""

		"DOTA_Seasonal_Quartero"										"Quartero"

		"DOTA_Seasonal_Fall_2025_Title"									"Curiosidades do Quartero"
		"DOTA_Seasonal_Fall_2025_Subtitle"								"Recompensas de outono"
		"DOTA_Seasonal_Fall_2025_Intro"									"\"Saudações, heróis! Eu sou o Quartero, o Mãos-Largas! Podem ignorar a minha cara duvidosa! Em vez disso, concentrem-se nas palavras a sair da minha boca duvidosa.<br><br>E se eu vos dissesse que estou pronto para vos oferecer tesouros inestimáveis... de graça?<br><br>Qual é o senão? O senão é que... não há senão! Então é só um senão no total.\""
		"DOTA_Seasonal_Fall_2025_Description"							"Joga Dota e recebe acessórios para heróis GRÁTIS!"
		"DOTA_Seasonal_Fall_2025_Ends_On"								"Disponível até:"

		"DOTA_Seasonal_Winter_2025_Title"								"Curiosidades do Quartero"

		"DOTA_Seasonal_Winter_2025_q02_intro_01"						"\"Bem-vindo mais uma vez às Curiosidades do Quartero... agora com antiguidades novas e melhoradas!"
		"DOTA_Seasonal_Winter_2025_q02_intro_02"						"O Quartero tem lido todas as cartas dos seus fãs e a opinião é unânime!"
		"DOTA_Seasonal_Winter_2025_q02_intro_03"						"Toda a gente ADOROU as antiguidades grátis! E DETESTOU as antiguidades grátis!"
		"DOTA_Seasonal_Winter_2025_q02_intro_04"						"Por isso, desta vez, o Quartero vai certificar-se de que a tua primeira antiguidade é uma super-hiper-mega especial!"
		"DOTA_Seasonal_Winter_2025_q02_intro_05"						"Escolhida pessoalmente por mim, para garantir que seja da melhor qualidade possível."
