"lang"
{ 
	"Language" "tchinese" 
	"Tokens" 
	{

		"DOTA_TrophyName_Quartero_Fall2025"				"2025 四郎"
		"DOTA_TrophyDesc_Quartero_Fall2025"				"2025 秋季四郎獲得的等級。"

		"DOTA_Reward_Line_Year_2025"									"2025"
		"DOTA_Reward_Line_Fall_2025_Title"								"四郎的<br>奇貨鋪"
		"DOTA_Reward_Line_Fall_2025_Description"						"遊玩 Dota 以解鎖季節獎勵"

		"DOTA_Reward_Line_Fall_2025_HeroSetReward"						"四郎的古董"
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardDescription"			"獲取過去推出超過 100 款英雄套裝的其中之一，還能以較小的機率獲得不朽或奧祕物品。"
		"DOTA_Reward_Line_Fall_2025_HeroSetRewardFlavor"				"「我記得這套裝原本的主人。真是悲慘。嗯，太殘酷了。我還是不多講了，被這套裝聽到就不好了。」"

		"DOTA_Seasonal_Quartero"										"四郎"

		"DOTA_Seasonal_Fall_2025_Title"									"四郎的奇貨鋪"
		"DOTA_Seasonal_Fall_2025_Subtitle"								"秋季獎勵"
		"DOTA_Seasonal_Fall_2025_Intro"									"「各位英雄好！我是灑脫的四郎！別在意我不可信的外貌！我不值得信任的嘴所說的話才是重點。<br><br>如果我告訴您，我準備慷慨地給你無價之寶……全部免費呢？<br><br>有什麼圈套？圈套就是……這並沒有圈套！總共就只有這一個圈套。」"
		"DOTA_Seasonal_Fall_2025_Description"							"遊玩 Dota 並免費解鎖英雄飾品！"
		"DOTA_Seasonal_Fall_2025_Ends_On"								"結束日期："

		"DOTA_Seasonal_Winter_2025_Title"								"四郎的奇貨鋪"

		"DOTA_Seasonal_Winter_2025_q02_intro_01"						"「歡迎回到四郎的奇貨鋪……現在帶來全新升級的古董！"
		"DOTA_Seasonal_Winter_2025_q02_intro_02"						"四郎一直在讀粉絲來信，我收到的回饋還真一致！"
		"DOTA_Seasonal_Winter_2025_q02_intro_03"						"大家都對古董大放送又愛又恨！"
		"DOTA_Seasonal_Winter_2025_q02_intro_04"						"因此！這一次，四郎會確保您所獲得的首件古董會是超級霹靂特殊的古董！"
		"DOTA_Seasonal_Winter_2025_q02_intro_05"						"由在下親自精心挑選，絕對是最佳品質。"
		"DOTA_Seasonal_Winter_2025_q02_intro_06"						"接著就回歸到一般的古董了。但是！各位贏得古董的機會也變大了。"
		"DOTA_Seasonal_Winter_2025_q02_intro_07"						"最後一點，這點也同樣重要！現在您可從各種選項中挑選您的寶藏。"
		"DOTA_Seasonal_Winter_2025_q02_intro_08"						"其它內容都是一樣的！玩遊戲，然後免費贏得獨一無二的套裝！"
		"DOTA_Seasonal_Winter_2025_q02_intro_09"						"這都多虧了我四郎！就是你們寫那些憤怒、惡毒信件羞辱的快樂羊人。」"

		"DOTA_Seasonal_Winter_2025_Description"							"遊玩 Dota 並免費解鎖英雄飾品！"
		"DOTA_Seasonal_Winter_2025_Ends_On"								"結束日期："
		"DOTA_Seasonal_Winter_2025_Outro_01"							"「時間滴答響，英雄！這些無價寶藏的時間可不等人！"
		"DOTA_Seasonal_Winter_2025_Outro_02"							"當計時器歸零後，這些套裝將會消失……可能還是！永遠消失！誰都不敢說！至少會消失一段時間。」"

		"DOTA_Seasonal_VisualNovel_ClickToContinue"						"點擊以繼續"
		"DOTA_Seasonal_VisualNovel_Reward"								"獎勵："
		
		"DOTA_Seasonal_Fall_2025_WD_Bundle"								"巫術先知"
		"DOTA_Seasonal_Fall_2025_LC_Bundle"								"龍之契約"
		"DOTA_Seasonal_Fall_2025_LC_Bundle2"							"龍之慍火"
		"DOTA_Seasonal_Fall_2025_VS_Bundle"								"黑鴉詛咒"

		"DOTA_Quartero_Set_Tier1"								"1 階"
		"DOTA_Quartero_Set_Tier2"								"2 階"

		"DOTA_Fall2025_EventLevel_Tooltip_Title"				"奇貨鋪等級"
		"DOTA_Fall2025_EventLevel_Tooltip_Status_Level"			"等級 <b>{d:event_level}</b>"
		"DOTA_Fall2025_EventLevel_Tooltip_Status"				"{d:level_progress} / {d:points_per_level} XP"
		"DOTA_Fall2025_EventLevel_Tooltip_Body"					"遊玩比賽以賺取等級，解鎖來自四郎的新奇貨。<br><br>獲勝 = {d:win_xp} 經驗。落敗 = {d:lose_xp} 經驗。<br><b>加速模式</b>：獲勝 = {d:win_turbo_xp} 經驗。落敗 = {d:lose_turbo_xp} 經驗。"
		"DOTA_Fall2025_EventLevel_Tooltip_PreviousMatchInfo"	"（上一場比賽獲得 {d:points_gained} 經驗。）"
		"DOTA_Fall2025_FirstReward_Tooltip"			"您的第一件奇貨已可領取！<br>點擊以領取免費物品。"
		"DOTA_Fall2025_SeasonalParticlesTitle"		"活動效果"
		"DOTA_Fall2025_RandomHeroSets"				"古董"
		"DOTA_Fall2025_Tier1"						"1 階"
		"DOTA_Fall2025_Tier2"						"2 階"

		"DOTA_Seasonal_Winter_2025_ShadowShaman_Bundle"		"幽冥甲蟲"
		"DOTA_Seasonal_Winter_2025_SF_Bundle"				"熔煉君主"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle"				"餘燼執法者"
		"DOTA_Seasonal_Winter_2025_Axe_Bundle2"				"金輝暴君"

		"DOTA_Reward_Line_Winter_2025_HeroSetRewardDescription"		"在 5 款隨機英雄套裝中選擇。<br><br>從超過 100 款過去推出的套裝當中隨機選出，還有小機率包含不朽或奧祕物品。"
		"DOTA_Reward_Line_Winter_2025_HQHeroSetRewardDescription"	"在 5 款隨機超級霹靂特殊的英雄套裝中選擇。<br><br>從超過 100 款過去推出的套裝當中隨機選出，還有包含不朽或奧祕物品的機率。"

		"DOTA_Quartero_EventPurchasePoints_Title" "花費 Dota+ 碎片換取四郎點數"
		"DOTA_Quartero_EventPurchasePoints_Text" "您想花費 {g:dota_shards_value:points_to_spend} 購買 {d:points_to_buy} 四郎點數以解鎖等級 {d:level_to_buy} 嗎？"
		"DOTA_Quartero_EventPurchasePointsNotEnough_Text" "您沒有購買 {d:points_to_buy} 四郎點數所需的  {g:dota_shards_value:points_to_spend}。"

	}
} 
