"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"ลองพยายามที่จะสู้กับครีปและฮีโร่ฝ่ายศัตรูขณะที่คุณอยู่ในระยะการโจมตีของป้อมปราการฝ่ายคุณ"
		"dota_tip_introduction_2"		"ควรระมัดระวังขณะที่คุณข้ามแม่น้ำเข้าไปยังพื้นที่ฝ่ายศัตรู"
		"dota_tip_introduction_3"		"อย่าลืมซื้อไอเท็มที่ฟื้นฟูหลังชีวิตและมานาในตอนเริ่มเกม"
		"dota_tip_introduction_4"		"ซื้อและใช้ Town Portal Scroll เพื่อเดินทางไปยังรอบ ๆ แผนที่ได้อย่างรวดเร็ว"
		"dota_tip_introduction_6"		"ไอเท็มบางชิ้นสามารถซื้อได้ที่ \"ร้านค้าลับ\" เท่านั้น"
		"dota_tip_introduction_7"		"สำหรับฮีโร่ส่วนใหญ่ สกิล \"อัลติเมท\" สามารถเรียนรู้ได้เมื่อถึงเลเวล 6 และจะแข็งแกร่งขึ้นที่เลเวล 12 และ 18"
		"dota_tip_introduction_8"		"การโจมตี Last Hit ครีปหรือฮีโร่จะทำให้คุณได้รับโกลด์เพิ่มเติม"
		"dota_tip_introduction_9"		"ผู้เล่นแต่ละคนจะมี Courier เป็นของตัวเองที่ใช้ส่งไอเท็มให้กับผู้เล่นขณะอยู่ในเลน"
		"dota_tip_introduction_10"		"ไอเท็มที่ซื้อขณะคุณอยู่ห่างจากร้านค้าจะไปอยู่ในคลังเก็บของ ซึ่งสามารถรับไอเท็มได้ทีหลัง หรือส่งให้คุณได้ด้วย Courier ของคุณ"
		"dota_tip_introduction_11"		"หากมีความจำเป็น โหมดตาบอดสีสามารถใช้งานได้ที่หน้าเมนูตั้งค่า"
		"dota_tip_introduction_12"		"มีหลากหลายวิธีในการจัดการการปรับแต่งแช็ตของคุณในแท็บ \"สังคม\" ของเมนูตั้งค่า"

//LORE TIPS (everyone sees these)
		"dota_tip_lore_1" 					"Atos จ้าวแห่งการเสื่อมสลาย มีเศษส่วนพลังชีวิตของเขาเก็บอยู่ใน Rod of Atos"
		"dota_tip_lore_2" 					"Eye of Skadi เคยได้รับการปกป้องโดยเหล่ามังกรฟ้า"
		"dota_tip_lore_3" 					"Shadow Blade เคยเป็นดาบของกษัตริย์ที่ถูกลืมมาเนิ่นนานจนถึงบัดนี้"
		"dota_tip_lore_4"					"Crystal Maiden และ Lina เป็นพี่น้องกัน"
		"dota_tip_lore_5"					"ค้อนเวทมนตร์ Mjollnir ถูกสร้างโดยคนแคระ Brok และ Eitri สำหรับ Thor"
		"dota_tip_lore_6"					"Meteor Hammer ถูกหลอมมาจากโลหะที่ค้นพบในหมู่บ้านที่ถูกทำลายโดยพายุดาวฤกษ์"
