"lang"
{ 
	"Language" "turkish" 
	"Tokens" 
	{

//INTRODUCTORY LOADSCREEN TIPS		(0 to 25 games played)
		"dota_tip_introduction_1"		"Yaratıklarla ve düşman kahramanlarla, takımının kulelerinin saldırı menzili içinde savaşmaya çalışın."
		"dota_tip_introduction_2"		"Nehri geçip düşman topraklarına girerken dikkatli olun."
		"dota_tip_introduction_3"		"Oyun başlangıcında sağlığınızı ve mananızı yenilemek için eşyalar satın almayı unutmayın."
		"dota_tip_introduction_4"		"Haritada hızlıca gezinmek için Town Portal Scroll satın alın ve kullanın."
		"dota_tip_introduction_6"		"Bazı eşyalar yalnızca bir \"Gizli Dükkân\"dan satın alınabilir."
		"dota_tip_introduction_7"		"Birçok kahramanın \"son\" yeteneği seviye 6'da öğrenilebilir ve seviye 12 ile seviye 18'de geliştirilebilir."
		"dota_tip_introduction_8"		"Bir yaratık ya da kahramana son vuruş yapmak fazladan altın kazandırır."
		"dota_tip_introduction_9"		"Oyuncular kulvardayken, her bir oyuncunun eşyalarını getirmesi için kendi kuryesi vardır."
		"dota_tip_introduction_10"		"Dükkân'dan uzaktayken satın aldığınız eşyalar, daha sonra alabilmeniz için ya da kuryeniz tarafından teslim edilebilmesi için zulaya yerleştirilecektir."
		"dota_tip_introduction_11"		"İhtiyaç halinde, renk körü ayarı ayarlar menüsünde mevcuttur."
		"dota_tip_introduction_12"		"Ayarlar menüsünün Sosyal sekmesi altında sohbet tercihlerinizi yönetmenin birçok yolu vardır."

//LORE TIPS (everyone sees these)
		"dota_tip_lore_1" 					"Işık Tanrısı Atos, özünün parçacıklarını Rod of Atos'ta saklamıştır."
		"dota_tip_lore_2" 					"Eye of Skadi, Azure'un ejderhaları tarafından korunmaktadır."
		"dota_tip_lore_3" 					"Shadow Blade bir zamanlar, adı şimdilerde efsanelere karışmış bir kralın kılıcıydı."
		"dota_tip_lore_4"					"Crystal Maiden ve Lina kardeştir."
		"dota_tip_lore_5"					"Sihirli çekiç Mjollnir, Brok ve Eitri cüceleri tarafından Thor için yapılmıştır."
		"dota_tip_lore_6"					"Meteor Hammer, büyük bir yıldız fırtınası tarafından yok edilen bir köyde bulunan metallerden dövülmüştür."
		"dota_tip_lore_7"					"Guardian Greaves Her Şeyi Bilen'in onuruna yapılmıştır."
		"dota_tip_lore_8"					"Aeon Disk'in Ivory Incubarium'dan kaçırılmış olduğu dedikodusu dolanıyor."
		"dota_tip_lore_9"					"Crimson Guard ilk başta korkunç Yıl Canavarı'ndan korunmak maksadıyla oluşturulmuş göğüs zırhıdır."

//UNIVERSAL LOADSCREEN TIPS		(25+ games played)
		"dota_tip_universal_1"				"Spikerler ve gösterge görünümleri maçtaki bütün oyuncular arasında paylaşılır. Skor tablosundaki \"Paylaşılan İçerikler\" düğmesini kullanarak aralarından seçim yapabilirsiniz."
		"dota_tip_universal_2"				"Sakin olun ve unutmayın: Bu yalnızca bir oyun."
		"dota_tip_universal_3"				"Üst paneliin sol tarafındaki düğmeleri kullanarak erişilen skor tabelasıına giderek kaba oyuncuları susturabilirsiniz."
		"dota_tip_universal_4"				"Kahramanınızı seçtikten sonra, oyun başladığında hangi kulvara gitmek istediğinizi takım arkadaşlarına bildirmek için sol altta bulunan mini haritaya tıklayabilirsiniz."
		"dota_tip_universal_5"				"Birisi ile oynamaktan zevk mi aldınız? Oyun sonrası ekranından isimlerinin üzerindeki övgü simgesine tıklayarak onları övün."
		"dota_tip_universal_6"				"Alt tuşuna basılı tutarak bir yeteneğe tıklayarak o yeteneğin mevcut dolum süresi durumunu arkadaşlarınıza bildirebilirsiniz."
		"dota_tip_universal_7"				"Bir düşman kahramanının kayıp olduğunu takım arkadaşlarınıza tepe çubuğundaki portresine Alt tuşu ile tıklayarak bildirebilirsiniz."
		"dota_tip_universal_8"				"Her zaman nazik olun, özellikle takım arkadaşlarınıza karşı. İnsanların, kaba insanları dinleme olasılığı daha azdır."
		"dota_tip_universal_9"				"Bir maçı terk eden oyuncular cezalandırılır."
		"dota_tip_universal_10"				"Herkes göz, dust ve smoke satın alabilir. Eğer takımınızın bir şeye ihtiyacı varsa almaya çekinmeyin!"
		"dota_tip_universal_11"				"Yeni oyunculara karşı iyi davranın. Herkes bir yerden başlar."
		"dota_tip_universal_12"				"İyi şanslar. İyi eğlenceler."
		"dota_tip_universal_13"				"Kahraman seçimleri önemlidir. Çoğu kahraman diğer kahramanlara karşı güçlüdür ve kahramanları kombine etmek, tek başına olmaktan daha etkili ve daha yararlı olacaktır."
		"dota_tip_universal_14"				"Shift tuşuna basılı tutmak eylemlerinizi sırayla uygulamanızı sağlayacaktır."
		"dota_tip_universal_15"				"Sesinizi duyurun! Dota 2 Atölyesi'ni ziyaret edin ve Dota 2'de satıldığını görmek istediğiniz eşyaları oylayın."
		"dota_tip_universal_16"				"Genel eşyalar da karıştır listesine eklenebilir ve böylece her maç için rastgele farklı bir öğenin seçilmesini sağlar."
		"dota_tip_universal_17"				"Pozitif destek zafer elde etmenize katkıda bulunabilir."
		"dota_tip_universal_18"				"Mini harita üzerinde renk kodlu semboller yerine kahramanların yüz simgelerini görmeyi mi tercih ediyorsunuz? Bunu ayarlar menüsünden değiştirebilirsiniz."
		"dota_tip_universal_19"				"Maçlar arasında ayağa kalkıp gerinmeyi unutmayın."
		"dota_tip_universal_20"				"Unutmayın: Herkesin kötü oynadığı oyunlar olabilir. Herkes hata yapar."
		"dota_tip_universal_21"				"Mini haritayı ekranın başka bir tarafında mı görmek istiyorsunuz? Ayarlar menüsünden değiştirebilirsiniz."
		"dota_tip_universal_22"				"Kahramanınızın konuşma sıklığını ayarlar menüsünden değiştirebilirsiniz."
		"dota_tip_universal_23"				"Maç tekrarlarını profilinizde bulunan Geçmiş sekmesinden indirebilirsiniz. Maçlarınızı farklı bir açıdan izlemek kendinizi geliştirmek için iyi bir yoldur!"
		"dota_tip_universal_24"				"Alt tuşuna basılı tutarak, bir yeteneğe veya eşyaya tıklayıp takım arkadaşlarınıza, onun kullanıma hazır veya dolduğunu ya da kullanmak için yeterli mananızın olmadığını söyleyebilirsiniz."
		"dota_tip_universal_25"				"Susturulduğunuzda eşyalarınızı kullanmaya devam edebilirsiniz ancak engellendiğinizde eşyalarınızı kullanamazsınız."
		"dota_tip_universal_26"				"Town Portal Scroll'unu yanlışlıkla iptal mi ettiniz? Ayarlar menüsünden, ışınlanmayı yalnızca bir dur komutuyla durdurabileceğiniz bir ayar mevcuttur."
		"dota_tip_universal_27"				"Takım arkadaşlarınızı düşman kahramanın sahip olduğu bir eşya için uyarmak istiyorsanız, Alt tuşuna basılı tutarak düşman envanterindeki o eşyaya tıklayın."
		"dota_tip_universal_28"				"Alt tuşuna basılı tutup, anında canlanma veya altının üzerine tıklayarak, takımınızı anında canlanma durumunuz hakkında bilgilendirebilirsiniz."
		"dota_tip_universal_29"				"Serbest Seçim'de, geriye sayım bittiğinde bir kahraman seçmeyen oyuncular başlangıç altınını kaybetmeye başlayacaklardır."
		"dota_tip_universal_30"				"Dota 2 her zaman gelişiyor. Yeni özellikler ekleniyor, yeni kahramanlar geliyor ve var olan kahramanlar ve mekanikler üzerinde bazen iyileştirmeler yapılıyor. Son değişikliklerden haberdar olabilmek için Dota 2 blogunu takip edin!"
		"dota_tip_universal_31"				"Zaten karşılaşacağınız beş düşmandan daha fazlasını edinmemek için dikkatli olun."
		"dota_tip_universal_33"				"İhtiyaç hâlinde, renk körü ayarı ayarlar menüsünde mevcuttur."
		"dota_tip_universal_34"				"Alt tuşuna bastılı tutup kendinizin, bir düşman kahramanın ya da bir dost kahramanın sağlık ve mana çubuklarının üzerine tıklamak kahramanın mevcut sağlık ve mana durumu hakkında takımınızı bilgilendirir."
		"dota_tip_universal_35"				"Kahramanınızdaki ve düşman kahramanlardaki etkin güçlendirmeleri ve güçsüzleştirmeleri, Alt tuşuna basılı tutup simgelerine tıklayarak takımınıza iletebilirsiniz."
		"dota_tip_universal_36"				"Alt tuşuna basıp Kuvvetlendirme Kalkanı'na tıkladığınızda takımınınıza Kalkan'ın mevcut durumu hakkında bilgi verirsiniz. Takımınıza Kuvvetlendirme Kalkanı'nı kullanmamalarını söylemek için CTRL ve Alt tuşuna birlikte basılı tutarak Kalkan üzerine tıklayabilirsiniz."
		"dota_tip_universal_37"				"Alt tuşuna basılı tutup yeniden canlanma süresinin üzerine tıklamak takımınıza, kaç saniye sonra canlanacağınızın bilgisini verir."
		"dota_tip_universal_38"				"Takıma önceden seçtiğiniz mesajları hızlı bir şekilde göndermek için sohbet çarkını kullanın. Sohbet çarkı ifadelerini ayarlar menüsünden kişiselleştirebilirsiniz."
		"dota_tip_universal_39"				"Sohbet çarkı mesajları alıcının diline göre çevrilir."
		"dota_tip_universal_40"				"Hızlı kullana yetenek tuşu atayarak tek bir tıklamayla fare imlecinizin bulunduğu yerde yeteneklerinizi kullanabilirsiniz."
		"dota_tip_universal_42"				"Ayarlar menüsünden oynadığınız maçların verilerini üçüncü taraflara gösterebilirsiniz."
		"dota_tip_universal_43"				"Ayarlar menüsünden; yeteneğin simgesine çift tıklayarak veya yeteneğe/eşyaya atanan tuşa çift basarak, kahramanınız üzerinde otomatik olarak kullanılacak eşyaları ve yetenekleri ayarlayabilirsiniz."
		"dota_tip_universal_44"				"Asla pes etmeyin! Takımınız düşman takımından daha zayıfsa bir düşman kahramanı öldürmek size daha fazla altın ve deneyim verir."
		"dota_tip_universal_45"				"Dota topluluğunu dost canlısı ve çekici bir mücadele yeri yapmaya çalışmak herkesin sorumluluğudur."
		"dota_tip_universal_46"				"Profesyonel oyuncuların nasıl oynadıklarını görmek mi istiyorsunuz? Dünyada yer alan pek çok Dota 2 turnuvasını izleyebilirsiniz. Belki izlerken favori kahramanınız için birkaç yeni numara da öğrenirsiniz."
		"dota_tip_universal_47"				"Otomatik saldırıyı ayarlar menüsünden devre dışı bırakabilirsiniz."
		"dota_tip_universal_49"			"Çoğu zaman bir düşman kulesini veya kışlasını yıkmak takımınız için genellikle bir düşman kahramanını öldürmekten daha faydalıdır."
		"dota_tip_universal_50"			"Sakin ve nazik kalarak takım arkadaşlarınızı motive etmede daha başarılı olabilirsiniz."
		"dota_tip_universal_51"			"Sakin oyuncular her zaman daha iyi seçimler yaparlar."
		"dota_tip_universal_52"			"Daima sıradaki hamlenizi planlayın."
		"dota_tip_universal_53"			"Bir yenilgi bile sıradaki zaferiniz için bir alıştırmadır."
		"dota_tip_universal_54"			"Yeni kahramanlar oynamayı öğrenmek, son vuruş alıştırması yapmak veya favori kahramanınız için bir tarz dizayn etmek için \"Kahramanlar\" sekmesindeki \"Kahraman Deneme\" özelliğini kullanın."
		"dota_tip_universal_55"			"Büyülerinizin kullanım menzillerini ayarlar menüsündeki \"Yetenek Menzil Bulucu\" ayarını etkileştirerek görebilirsiniz."
		"dota_tip_universal_56"			"Aşina olmadığınız bir kahramanla oynayarak deneme yapmaktan çekinmeyin."
		"dota_tip_universal_57"			"Dota en iyi, arkadaşlarla birlikte oynanır."
		"dota_tip_universal_58"			"Asla kaba bir oyuncuyu susturmaktan çekinmeyin."
		"dota_tip_universal_59"			"Hatalarınızda boğulmamaya çalışın. Onlardan ders alın ve önünüze bakın."
		"dota_tip_universal_60"			"Her zaman haritaya göz atın."
		"dota_tip_universal_61"			"Eğer sesli sohbeti kullanırken oynanış takılmaları yaşıyorsanız, ayarlar menüsüne gidip \"Geliştirilmiş Bas Konuş\" ayarını açmayı deneyin."
		"dota_tip_universal_62"			"Ödül rünleri oyun başladığında ve ardından her 3 dakikada bir ortaya çıkar."
		"dota_tip_universal_63"			"Çoğu durumda, kulvar yaratıklarını öldürerek altın ve tecrübe kazanmak orman yaratıklarını öldürmeye kıyasla daha hızlıdır."
		"dota_tip_universal_64"			"Arka kapı korumasına sahip binaların sağlık çubuğunun yanında bir kalkan simgesi bulunur. Binaya saldırıldığında binanın etrafında mavi bir bariyer de görünür."
		"dota_tip_universal_65"			"Kuleler, Kadim Kale ve Kaynak yakınlarındaki görünmez birimleri açığa çıkaran Gerçek Görüş sağlar. Kışlalar, gözetleyiciler veya ele geçirilmiş ileri karakollar Gerçek Görüş sağlamaz."
		"dota_tip_universal_66"			"Kuşatma yaratıkları kulelere fazladan hasar verir ve mümkünse binaları hedef alır."
		"dota_tip_universal_67"			"Eğer bazı kahramanlara karşı oynarken zorluk çekiyorsanız onları oynamayı deneyin. Zayıflıklarını hızlıca öğrenirsiniz"
		"dota_tip_universal_68"			"Tüm kuleler yakınlarındaki birimlere zırh verir. Seviye 1 kuleler 3 zırh verirken diğer kuleler 5 zırh verir."
