"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		"announcer_dlc_axe_announcer_welcome_01" "欢迎刀塔世界！"
		"announcer_dlc_axe_announcer_choose_hero" "选择你的英雄。"
		"announcer_dlc_axe_announcer_pick_yr" "轮到你选人。"
		"announcer_dlc_axe_announcer_pick_enm" "轮到对面选人。"
		"announcer_dlc_axe_announcer_pick_dire" "轮到夜魇选人。"
		"announcer_dlc_axe_announcer_pick_rad" "轮到天辉选人。"
		"announcer_dlc_axe_announcer_ban_yr" "轮到你禁用。"
		"announcer_dlc_axe_announcer_ban_enm" "轮到敌军禁用。"
		"announcer_dlc_axe_announcer_ban_dire" "轮到夜魇军团禁用。"
		"announcer_dlc_axe_announcer_ban_rad" "轮到天辉军团禁用。"
		"announcer_dlc_axe_announcer_team_complete_rad" "天辉阵容已经完成。"
		"announcer_dlc_axe_announcer_team_complete_yr" "夜魇阵容已经完成"
		"announcer_dlc_axe_announcer_team_complete_dire" "我方队伍已经完成。"
		"announcer_dlc_axe_announcer_count_pick_10" "还剩10秒。"
		"announcer_dlc_axe_announcer_count_pick_5" "还剩5秒。"
		"announcer_dlc_axe_announcer_time_reserve" "备用时间。"
		"announcer_dlc_axe_announcer_count_battle_30" "30秒后开始打仗。"
		"announcer_dlc_axe_announcer_count_battle_10" "10秒后开始战斗。"
		"announcer_dlc_axe_announcer_battle_prepare_01" " 随时准备加入战斗！"
		"announcer_dlc_axe_announcer_battle_pregame_idle_01" "如果想要和平，就要准备好打仗。如果想要战争，那也要准备好打仗。总而言之，随时要准备好打仗。"
		"announcer_dlc_axe_announcer_battle_begin_01" "战争号角已经吹响！"
		"announcer_dlc_axe_announcer_anc_attack_yr_01" "我方遗迹遭到攻击。"
		"announcer_dlc_axe_announcer_anc_attack_yr_02" "我方遗迹遭到袭击。"
		"announcer_dlc_axe_announcer_anc_attack_yr_03" "且听斧王一言：你需要保护遗迹。"
		"announcer_dlc_axe_announcer_anc_attack_rad_01" "天辉遗迹遭到攻击。"
		"announcer_dlc_axe_announcer_anc_attack_rad_02" "天辉遗迹遭到敌军袭击。"
		"announcer_dlc_axe_announcer_anc_attack_rad_03" "斧王忍不住要说，天辉遗迹正受到攻击。"
		"announcer_dlc_axe_announcer_anc_attack_dire_01" "夜魇遗迹受到攻击。"
		"announcer_dlc_axe_announcer_anc_attack_dire_02" "夜魇遗迹遭到袭击。"
		"announcer_dlc_axe_announcer_anc_attack_dire_03" "斧王实话实说：夜魇遗迹快要沦陷。"
		"announcer_dlc_axe_announcer_twr_attack_rad_top_01" "天辉上塔需要增援。"
		"announcer_dlc_axe_announcer_twr_attack_rad_top_02" "天辉上塔需要援兵。"
		"announcer_dlc_axe_announcer_twr_attack_rad_top_03" "斧王发现天辉上路有大屠杀。"
		"announcer_dlc_axe_announcer_twr_attack_rad_mid_01" "天辉中塔需要增援。"
		"announcer_dlc_axe_announcer_twr_attack_rad_mid_02" "天辉中塔需要援兵。"
		"announcer_dlc_axe_announcer_twr_attack_rad_mid_03" "红雾在天辉中塔蔓延。"
		"announcer_dlc_axe_announcer_twr_attack_rad_bot_01" "天辉下塔需要增援。"
		"announcer_dlc_axe_announcer_twr_attack_rad_bot_02" "天辉下塔需要援兵。"
		"announcer_dlc_axe_announcer_twr_attack_rad_bot_03" "天辉下塔发生遭遇战。"
		"announcer_dlc_axe_announcer_twr_attack_dire_top_01" "夜魇上塔需要增援。"
		"announcer_dlc_axe_announcer_twr_attack_dire_top_02" "夜魇上塔需要援兵。"
		"announcer_dlc_axe_announcer_twr_attack_dire_top_03" "就像斧王大斧前的木材，夜魇上塔正受到攻击。"
		"announcer_dlc_axe_announcer_twr_attack_dire_mid_01" "夜魇中塔需要增援。"
		"announcer_dlc_axe_announcer_twr_attack_dire_mid_02" "夜魇中塔需要援兵。"
		"announcer_dlc_axe_announcer_twr_attack_dire_mid_03" "夜魇中塔已经面目全非，这是千真万确的。"
		"announcer_dlc_axe_announcer_twr_attack_dire_bot_01" "夜魇下塔需要增援。"
		"announcer_dlc_axe_announcer_twr_attack_dire_bot_02" "夜魇下塔需要援兵。"
		"announcer_dlc_axe_announcer_twr_attack_dire_bot_03" "夜魇下塔已经千疮百孔。"
		"announcer_dlc_axe_announcer_twr_attack_yr_top_01" "我方上塔需要支援。"
		"announcer_dlc_axe_announcer_twr_attack_yr_top_02" "我方上塔需要援兵。"
		"announcer_dlc_axe_announcer_twr_attack_yr_top_03" "我方上塔快被剁成肉酱了。"
		"announcer_dlc_axe_announcer_twr_attack_yr_mid_01" "来人防守我方中塔。"
		"announcer_dlc_axe_announcer_twr_attack_yr_mid_02" "我方中塔遭到猛烈进攻。"
		"announcer_dlc_axe_announcer_twr_attack_yr_mid_03" "敌军对我方中塔意见很大。"
		"announcer_dlc_axe_announcer_twr_attack_yr_bot_01" "我方下塔遭遇袭击。"
		"announcer_dlc_axe_announcer_twr_attack_yr_bot_02" "我方下塔遭遇敌军。"
		"announcer_dlc_axe_announcer_twr_attack_yr_bot_03" "斧王很高兴，下塔遇敌不是斧王的问题。"
		"announcer_dlc_axe_announcer_twr_fall_yr_top_01" "我方上塔已经倒塌。"
		"announcer_dlc_axe_announcer_twr_fall_yr_top_02" "我方上塔已经阵亡。"
		"announcer_dlc_axe_announcer_twr_fall_yr_top_03" "就跟斧王对你的观点一样，你的上塔已经下地狱。"
		"announcer_dlc_axe_announcer_twr_fall_yr_mid_01" "我方中塔已经倒下。"
		"announcer_dlc_axe_announcer_twr_fall_yr_mid_02" "我方中塔已经战死沙场。"
		"announcer_dlc_axe_announcer_twr_fall_yr_mid_03" "斧王想为中塔落泪，但是男儿有泪不轻弹。"
		"announcer_dlc_axe_announcer_twr_fall_yr_bot_01" "我方下塔已经壮烈牺牲。"
		"announcer_dlc_axe_announcer_twr_fall_yr_bot_02" "我方下塔已经阵亡。"
		"announcer_dlc_axe_announcer_twr_fall_yr_bot_03" "斧王还没见过比下塔还糟的废墟。"
		"announcer_dlc_axe_announcer_twr_fall_rad_top_01" "天辉上塔已经崩塌。"
		"announcer_dlc_axe_announcer_twr_fall_rad_top_02" "天辉上塔已经沦陷。"
		"announcer_dlc_axe_announcer_twr_fall_rad_top_03" "天辉上塔已经战死。如果上塔是斧王，那肯定不会战死。"
		"announcer_dlc_axe_announcer_twr_fall_rad_mid_01" "天辉中塔已经崩塌。"
		"announcer_dlc_axe_announcer_twr_fall_rad_mid_02" "天辉中塔已经沦陷。"
		"announcer_dlc_axe_announcer_twr_fall_rad_mid_03" "天辉中塔倒下，斧王中指竖起。"
		"announcer_dlc_axe_announcer_twr_fall_rad_bot_01" "天辉下塔已经崩塌。"
		"announcer_dlc_axe_announcer_twr_fall_rad_bot_02" "天辉下塔已经沦陷。"
		"announcer_dlc_axe_announcer_twr_fall_rad_bot_03" "天辉下塔已被击垮。"
		"announcer_dlc_axe_announcer_twr_fall_dire_top_01" "夜魇上塔已经崩塌。"
		"announcer_dlc_axe_announcer_twr_fall_dire_top_02" "夜魇上塔已经沦陷。"
		"announcer_dlc_axe_announcer_twr_fall_dire_top_03" "夜魇上塔上天入地，反正不在人世。"
		"announcer_dlc_axe_announcer_twr_fall_dire_mid_01" "夜魇中塔已经崩塌。"
		"announcer_dlc_axe_announcer_twr_fall_dire_mid_02" "夜魇中塔已经沦陷。"
		"announcer_dlc_axe_announcer_twr_fall_dire_mid_03" "如果夜魇中塔一文不值，那现在已经还在人世。"
		"announcer_dlc_axe_announcer_twr_fall_dire_bot_01" "夜魇下塔已经崩塌。"
		"announcer_dlc_axe_announcer_twr_fall_dire_bot_02" "夜魇下塔已经沦陷。"
		"announcer_dlc_axe_announcer_twr_fall_dire_bot_03" "夜魇下塔已经变成了尘土。"
		"announcer_dlc_axe_announcer_twr_fall_dire_bot_04" "天辉发现了夜魇下塔的弱点：如果打塔打的很多下，塔就会阵亡。"
