"lang"
{
"Language"	"polish"
"Tokens"
{
"announcer_announcer_welcome_01"	"Witaj w Dota!"
"[english]announcer_announcer_welcome_01"	"Welcome to Dota!"
"announcer_announcer_pick_yr"	"Teraz wybieracie wy."
"[english]announcer_announcer_pick_yr"	"Your turn to pick."
"announcer_announcer_pick_enm"	"Teraz wybiera wróg."
"[english]announcer_announcer_pick_enm"	"Enemy's turn to pick."
"announcer_announcer_pick_rad"	"Wybór drużyny Świetlistych."
"[english]announcer_announcer_pick_rad"	"Radiant team pick."
"announcer_announcer_pick_dire"	"Wybór drużyny Mrocznych."
"[english]announcer_announcer_pick_dire"	"Dire team pick."
"announcer_announcer_ban_yr"	"Banujesz."
"[english]announcer_announcer_ban_yr"	"Your turn to ban."
"announcer_announcer_ban_enm"	"Przeciwnik banuje."
"[english]announcer_announcer_ban_enm"	"Enemy's turn to ban."
"announcer_announcer_ban_dire"	"Wykluczenia drużyny Mrocznych."
"[english]announcer_announcer_ban_dire"	"Dire team ban."
"announcer_announcer_ban_rad"	"Wykluczenia drużyny Świetlistych."
"[english]announcer_announcer_ban_rad"	"Radiant team ban."
"announcer_announcer_team_complete_dire"	"Drużyna Mrocznych jest gotowa."
"[english]announcer_announcer_team_complete_dire"	"Dire's team is complete."
"announcer_announcer_team_complete_rad"	"Drużyna Świetlistych jest gotowa."
"[english]announcer_announcer_team_complete_rad"	"Radiant's team is complete."
"announcer_announcer_team_complete_yr"	"Twoja drużyna jest gotowa."
"[english]announcer_announcer_team_complete_yr"	"Your team is complete."
"announcer_announcer_team_complete_our"	"Nasza drużyna jest gotowa."
"[english]announcer_announcer_team_complete_our"	"Our team is complete."
"announcer_announcer_now_select"	"Możecie wybrać teraz swoich bohaterów."
"[english]announcer_announcer_now_select"	"You may now select your heroes."
"announcer_announcer_choose_hero"	"Wybierz swojego bohatera."
"[english]announcer_announcer_choose_hero"	"Choose your hero."
"announcer_announcer_time_reserve"	"Dodatkowy czas."
"[english]announcer_announcer_time_reserve"	"Reserve time."
"announcer_announcer_count_pick_10"	"Pozostało dziesięć sekund."
"[english]announcer_announcer_count_pick_10"	"Ten seconds remaining."
"announcer_announcer_count_pick_5"	"Pozostało pięć sekund."
"[english]announcer_announcer_count_pick_5"	"Five seconds remaining."
"announcer_announcer_count_battle_30"	"Trzydzieści sekund do bitwy."
"[english]announcer_announcer_count_battle_30"	"Thirty seconds to battle."
"announcer_announcer_count_battle_10"	"Dziesięć sekund do bitwy."
"[english]announcer_announcer_count_battle_10"	"Ten seconds to battle."
"announcer_announcer_battle_prepare_01"	"Przygotuj się do bitwy."
"[english]announcer_announcer_battle_prepare_01"	"Prepare for battle."
"announcer_announcer_battle_begin_01"	"Bitwa się rozpoczęła!"
"[english]announcer_announcer_battle_begin_01"	"The battle begins!"
"announcer_announcer_anc_attack_yr"	"Twój Starożytny jest atakowany."
"[english]announcer_announcer_anc_attack_yr"	"Your ancient is under attack."
"announcer_announcer_anc_attack_rad"	"Starożytny Świetlistych jest atakowany."
"[english]announcer_announcer_anc_attack_rad"	"Radiant's ancient is under attack."
"announcer_announcer_anc_attack_dire"	"Starożytny Mrocznych jest atakowany."
"[english]announcer_announcer_anc_attack_dire"	"Dire's ancient is under attack."
"announcer_announcer_twr_attack_rad_top"	"Górna wieża Świetlistych jest atakowana."
"[english]announcer_announcer_twr_attack_rad_top"	"Radiant's top tower is under attack."
"announcer_announcer_twr_attack_rad_mid"	"Środkowa wieża Świetlistych jest atakowana."
"[english]announcer_announcer_twr_attack_rad_mid"	"Radiant's middle tower is under attack."
"announcer_announcer_twr_attack_rad_bot"	"Dolna wieża Świetlistych jest atakowana."
"[english]announcer_announcer_twr_attack_rad_bot"	"Radiant's bottom tower is under attack."
"announcer_announcer_twr_attack_dire_top"	"Górna wieża Mrocznych jest atakowana."
"[english]announcer_announcer_twr_attack_dire_top"	"Dire's top tower is under attack."
"announcer_announcer_twr_attack_dire_mid"	"Środkowa wieża Mrocznych jest atakowana."
"[english]announcer_announcer_twr_attack_dire_mid"	"Dire's middle tower is under attack."
"announcer_announcer_twr_attack_dire_bot"	"Dolna wieża Mrocznych jest atakowana."
"[english]announcer_announcer_twr_attack_dire_bot"	"Dire's bottom tower is under attack."
"announcer_announcer_twr_attack_yr_top"	"Twoja górna wieża jest atakowana."
"[english]announcer_announcer_twr_attack_yr_top"	"Your top tower is under attack."
"announcer_announcer_twr_attack_yr_mid"	"Twoja środkowa wieża jest atakowana."
"[english]announcer_announcer_twr_attack_yr_mid"	"Your middle tower is under attack."
"announcer_announcer_twr_attack_yr_bot"	"Twoja dolna wieża jest atakowana."
"[english]announcer_announcer_twr_attack_yr_bot"	"Your bottom tower is under attack."
"announcer_announcer_twr_fall_yr_top"	"Twoja górna wieża została zniszczona."
"[english]announcer_announcer_twr_fall_yr_top"	"Your top tower has fallen."
"announcer_announcer_twr_fall_yr_mid"	"Twoja środkowa wieża została zniszczona."
"[english]announcer_announcer_twr_fall_yr_mid"	"Your middle tower has fallen."
"announcer_announcer_twr_fall_yr_bot"	"Twoja dolna wieża została zniszczona."
"[english]announcer_announcer_twr_fall_yr_bot"	"Your bottom tower has fallen."
"announcer_announcer_twr_fall_rad_top"	"Górna wieża Świetlistych została zniszczona."
"[english]announcer_announcer_twr_fall_rad_top"	"Radiant's top tower has fallen."
"announcer_announcer_twr_fall_rad_mid"	"Środkowa wieża Świetlistych została zniszczona."
"[english]announcer_announcer_twr_fall_rad_mid"	"Radiant's middle tower has fallen."
"announcer_announcer_twr_fall_rad_bot"	"Dolna wieża Świetlistych została zniszczona."
"[english]announcer_announcer_twr_fall_rad_bot"	"Radiant's bottom tower has fallen."
"announcer_announcer_twr_fall_dire_top"	"Górna wieża Mrocznych została zniszczona."
"[english]announcer_announcer_twr_fall_dire_top"	"Dire's top tower has fallen."
"announcer_announcer_twr_fall_dire_mid"	"Środkowa wieża Mrocznych została zniszczona."
"[english]announcer_announcer_twr_fall_dire_mid"	"Dire's middle tower has fallen."
"announcer_announcer_twr_fall_dire_bot"	"Dolna wieża Mrocznych została zniszczona."
"[english]announcer_announcer_twr_fall_dire_bot"	"Dire's bottom tower has fallen."
"announcer_announcer_twr_fall_enm_top"	"Górna wieża wroga została zniszczona."
"[english]announcer_announcer_twr_fall_enm_top"	"The enemy's top tower has fallen."
"announcer_announcer_twr_fall_enm_mid"	"Środkowa wieża wroga została zniszczona."
"[english]announcer_announcer_twr_fall_enm_mid"	"The enemy's middle tower has fallen."
"announcer_announcer_twr_fall_enm_bot"	"Dolna wieża wroga została zniszczona."
"[english]announcer_announcer_twr_fall_enm_bot"	"The enemy's bottom tower has fallen."
"announcer_announcer_rax_attack_yr_top"	"Twoje górne koszary są atakowane."
"[english]announcer_announcer_rax_attack_yr_top"	"Your top barracks are under attack."
"announcer_announcer_rax_attack_yr_mid"	"Twoje środkowe koszary są atakowane."
"[english]announcer_announcer_rax_attack_yr_mid"	"Your middle barracks are under attack."
"announcer_announcer_rax_attack_yr_bot"	"Twoje dolne koszary są atakowane."
"[english]announcer_announcer_rax_attack_yr_bot"	"Your bottom barracks are under attack."
"announcer_announcer_rax_attack_rad_top"	"Górne koszary Świetlistych są atakowane."
"[english]announcer_announcer_rax_attack_rad_top"	"Radiant's top barracks are under attack."
"announcer_announcer_rax_attack_rad_mid"	"Środkowe koszary Świetlistych są atakowane."
"[english]announcer_announcer_rax_attack_rad_mid"	"Radiant's middle barracks are under attack."
"announcer_announcer_rax_attack_rad_bot"	"Dolne koszary Świetlistych są atakowane."
"[english]announcer_announcer_rax_attack_rad_bot"	"Radiant's bottom barracks are under attack."
"announcer_announcer_rax_attack_dire_top"	"Górne koszary Mrocznych są atakowane."
"[english]announcer_announcer_rax_attack_dire_top"	"Dire's top barracks are under attack."
"announcer_announcer_rax_attack_dire_mid"	"Środkowe koszary Mrocznych są atakowane."
"[english]announcer_announcer_rax_attack_dire_mid"	"Dire's middle barracks are under attack."
"announcer_announcer_rax_attack_dire_bot"	"Dolne koszary Mrocznych są atakowane."
"[english]announcer_announcer_rax_attack_dire_bot"	"Dire's bottom barracks are under attack."
"announcer_announcer_rax_fall_yr_top"	"Twoje górne koszary zostały zniszczone."
"[english]announcer_announcer_rax_fall_yr_top"	"Your top barracks has fallen."
"announcer_announcer_rax_fall_yr_mid"	"Twoje środkowe koszary zostały zniszczone."
"[english]announcer_announcer_rax_fall_yr_mid"	"Your middle barracks has fallen."
"announcer_announcer_rax_fall_yr_bot"	"Twoje dolne koszary zostały zniszczone."
"[english]announcer_announcer_rax_fall_yr_bot"	"Your bottom barracks has fallen."
"announcer_announcer_rax_fall_rad_top"	"Górne koszary Świetlistych zostały zniszczone."
