"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		"bounty_hunter_bount_spawn_01" "赏金猎人！"
		"bounty_hunter_bount_spawn_02" "敌人的头上都有悬赏。"
		"bounty_hunter_bount_spawn_03" "只要价格合理，什么都行"
		"bounty_hunter_bount_spawn_04" "这单生意我接了。"
		"bounty_hunter_bount_battlebegins_01" "不嫌生意难做，不嫌赏金太多。"
		"bounty_hunter_bount_firstblood_01" "第一滴血，我已笑纳。"
		"bounty_hunter_bount_move_06" "我的刀就是我的代言人。"
		"bounty_hunter_bount_move_01" "我正在追踪。"
		"bounty_hunter_bount_move_02" "五个敌人，五份赏金。"
		"bounty_hunter_bount_move_03" "好的。"
		"bounty_hunter_bount_move_04" "跟着猎物的踪迹走。"
		"bounty_hunter_bount_move_05" "在那儿。"
		"bounty_hunter_bount_move_07" "走这边。"
		"bounty_hunter_bount_move_08" "我的刀要饮血。"
		"bounty_hunter_bount_move_09" "我会找到他们的。"
		"bounty_hunter_bount_move_10" "这儿有脚印。"
		"bounty_hunter_bount_move_11" "Fi'ir！"
		"bounty_hunter_bount_move_12" "重新定位。"
		"bounty_hunter_bount_move_13" "我在走。"
		"bounty_hunter_bount_move_14" "潜行。"
		"bounty_hunter_bount_move_15" "我刚是不是看到了一根破树枝？"
		"bounty_hunter_bount_move_16" "有线索了。"
		"bounty_hunter_bount_move_17" "我会找到他们的。"
		"bounty_hunter_bount_move_18" "Itam 'gro。"
		"bounty_hunter_bount_move_19" "Ahgo 'prira。"
		"bounty_hunter_bount_attack_01" "进攻！"
		"bounty_hunter_bount_attack_02" "抓到你了"
		"bounty_hunter_bount_attack_03" "要死的还是活的！"
		"bounty_hunter_bount_attack_04" "你死定了！"
		"bounty_hunter_bount_attack_05" "乐意之至。"
		"bounty_hunter_bount_attack_06" "你跑不远的。"
		"bounty_hunter_bount_attack_07" "接近中。"
		"bounty_hunter_bount_attack_08" "我是来收人头的。"
		"bounty_hunter_bount_attack_09" "歼灭他们。"
		"bounty_hunter_bount_attack_10" "Fi' a mont。"
		"bounty_hunter_bount_attack_11" "我喜欢这样。"
		"bounty_hunter_bount_attack_12" "为了法律的正义。"
		"bounty_hunter_bount_attack_13" "有报酬就行"
		"bounty_hunter_bount_attack_14" "Fi'rah！"
		"bounty_hunter_bount_cast_01" "追踪已经开始了。"
		"bounty_hunter_bount_cast_02" "是死是活，你都归我了"
		"bounty_hunter_bount_cast_03" "让我的刀认识认识你"
		"bounty_hunter_bount_ability_shur_02" "注意脑袋"
		"bounty_hunter_bount_ability_shur_03" "好招。"
		"bounty_hunter_bount_ability_jinada_01" "待那儿别动！"
		"bounty_hunter_bount_ability_jinada_02" "抓住你了！"
		"bounty_hunter_bount_ability_jinada_03" "站住！"
		"bounty_hunter_bount_ability_jinada_04" "我打赌这很疼"
		"bounty_hunter_bount_ability_windwalk_01" "屠刀隐去。"
		"bounty_hunter_bount_ability_windwalk_02" "融入环境中。"
		"bounty_hunter_bount_ability_windwalk_03" "隐形。"
		"bounty_hunter_bount_ability_windwalk_04" "你无法跟看不见的敌人战斗"
		"bounty_hunter_bount_ability_windwalk_05" "好久不见。"
		"bounty_hunter_bount_ability_windwalk_06" "我从你的视野里消失了。"
		"bounty_hunter_bount_ability_windwalk_07" "呵呵呵呵呵呵呵呵呵。"
		"bounty_hunter_bount_ability_windwalk_08" "呵呵呵呵呵呵呵呵呵呵。"
		"bounty_hunter_bount_ability_wind_attack_01" "哈！"
		"bounty_hunter_bount_ability_wind_attack_02" "吃我一招！"
		"bounty_hunter_bount_ability_wind_attack_03" "感觉怎么样？"
