"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		"chaos_knight_chaknight_spawn_01" "混沌之骑士"
		"chaos_knight_chaknight_spawn_02" "混沌骑士。"
		"chaos_knight_chaknight_spawn_03" "混沌驾临。"
		"chaos_knight_chaknight_spawn_04" "混沌驾临。"
		"chaos_knight_chaknight_spawn_05" "身披漆黑护甲的骑士。"
		"chaos_knight_chaknight_battlebegins_01" "混沌，我来了。"
		"chaos_knight_chaknight_firstblood_01" "第一滴血，呵呵哈哈哈。"
		"chaos_knight_chaknight_firstblood_02" "混沌的侵蚀如闪电。"
		"chaos_knight_chaknight_move_01" "好的。"
		"chaos_knight_chaknight_move_02" "没问题。"
		"chaos_knight_chaknight_move_03" "确实如此。"
		"chaos_knight_chaknight_move_04" "眼花缭乱。"
		"chaos_knight_chaknight_move_05" "宝马前进。"
		"chaos_knight_chaknight_move_06" "慢慢前进。"
		"chaos_knight_chaknight_move_07" "考验你的时刻到了。"
		"chaos_knight_chaknight_move_08" "天劫，前进。"
		"chaos_knight_chaknight_move_09" "只走寻常路。"
		"chaos_knight_chaknight_move_10" "时刻准备。"
		"chaos_knight_chaknight_move_11" "全速前进。"
		"chaos_knight_chaknight_move_12" "饥渴和宝剑，促使我前行。"
		"chaos_knight_chaknight_move_13" "天劫降临。"
		"chaos_knight_chaknight_move_14" "正往此处前进。"
		"chaos_knight_chaknight_move_15" "盾牌和宝剑，赐予我力量。"
		"chaos_knight_chaknight_move_16" "混沌之路线。"
		"chaos_knight_chaknight_move_17" "呵呀"
		"chaos_knight_chaknight_attack_01" "人骑合一。"
		"chaos_knight_chaknight_attack_02" "砍的好。"
		"chaos_knight_chaknight_attack_03" "扒皮抽筋。"
		"chaos_knight_chaknight_attack_04" "敲骨吸髓。"
		"chaos_knight_chaknight_attack_05" "攻击!"
		"chaos_knight_chaknight_attack_06" "无可匹敌。"
		"chaos_knight_chaknight_attack_07" "吃我一棒。"
		"chaos_knight_chaknight_attack_08" "粉身碎骨。"
		"chaos_knight_chaknight_attack_09" "开膛破肚。"
		"chaos_knight_chaknight_attack_10" "我散播混乱！"
		"chaos_knight_chaknight_attack_11" "冲！"
		"chaos_knight_chaknight_cast_01" "我是混沌的传播者!"
		"chaos_knight_chaknight_cast_02" "这招会让你断子绝孙。"
		"chaos_knight_chaknight_cast_03" "跪下，乞求我的饶恕吧。"
		"chaos_knight_chaknight_ability_chaosbolt_01" "眩晕。"
		"chaos_knight_chaknight_ability_chaosbolt_02" "坚持住。"
		"chaos_knight_chaknight_ability_chaosbolt_03" "停。"
		"chaos_knight_chaknight_ability_chaosbolt_04" "只是凑巧。"
		"chaos_knight_chaknight_ability_realrift_01" "时空转移。"
		"chaos_knight_chaknight_ability_realrift_02" "快速移动。"
		"chaos_knight_chaknight_ability_realrift_03" "向前跳跃。"
		"chaos_knight_chaknight_ability_realrift_04" "战场见。"
		"chaos_knight_chaknight_ability_phantasm_01" "集合，骑士们。"
		"chaos_knight_chaknight_ability_phantasm_02" "天启之骑士。"
		"chaos_knight_chaknight_ability_phantasm_03" "与死亡同在。"
		"chaos_knight_chaknight_ability_phantasm_04" "我来自另外一个位面。"
		"chaos_knight_chaknight_ability_phantasm_05" "骑士军团降临。"
		"chaos_knight_chaknight_ability_failure_01" "绑"
		"chaos_knight_chaknight_ability_failure_02" "膀"
		"chaos_knight_chaknight_ability_failure_03" "我恨。"
		"chaos_knight_chaknight_levelup_01" "混沌在扩张。"
		"chaos_knight_chaknight_levelup_02" "我喜欢新事物。"
		"chaos_knight_chaknight_levelup_03" "无尽的力量。"
		"chaos_knight_chaknight_levelup_04" "好，非常好!"
		"chaos_knight_chaknight_levelup_05" "混沌加剧。"
		"chaos_knight_chaknight_levelup_06" "感受一下混沌吧。"
		"chaos_knight_chaknight_levelup_07" "混沌将统治一切。"
		"chaos_knight_chaknight_Kill_01" "我要将你挫骨扬灰。"
		"chaos_knight_chaknight_Kill_02" "又少了一个位面。"
		"chaos_knight_chaknight_Kill_03" "你在这个位面的日子到头了。"
		"chaos_knight_chaknight_Kill_04" "你毫无价值。"
		"chaos_knight_chaknight_Kill_05" "我们的苦难是命中注定的。"
		"chaos_knight_chaknight_Kill_06" "这是你虚弱的见证。"
		"chaos_knight_chaknight_Kill_07" "骨肉分离，血肉模糊。"
		"chaos_knight_chaknight_Kill_08" "所有秩序都将化为乌有。"
		"chaos_knight_chaknight_Kill_09" "你的尸体将被混沌和腐败所占据。"
		"chaos_knight_chaknight_Kill_10" "你不是我的对手。"
		"chaos_knight_chaknight_Kill_11" "我会把你按在天劫背上，做我的马鞍。"
		"chaos_knight_chaknight_rival_01" "骑士杀害了国王。"
		"chaos_knight_chaknight_rival_02" "我要把你挫骨扬灰，如果你有的话。"
		"chaos_knight_chaknight_rival_03" "让我送你进地狱。"
		"chaos_knight_chaknight_rival_04" "真正的骑士难道连匹马都没有？"
		"chaos_knight_chaknight_rival_05" "如果你有匹马，这才是场公平的战斗。"
		"chaos_knight_chaknight_rival_06" "没马的骑士不是真骑士。"
		"chaos_knight_chaknight_rival_07" "你的全能之神哪儿去了？"
		"chaos_knight_chaknight_rival_08" "站在光明一边的现在都躺在坟墓里。"
		"chaos_knight_chaknight_rival_09" "全能骑士，我的第二个首要击杀目标。"
